vertex_index,object_id,vertex_label,object_label,distance_m,decision
9689,5692549928996306945,0,2,0.0224229,remove
9690,5692549928996306945,0,2,0.0224236,remove
9726,5692549928996306945,0,2,0.029867,remove
9727,5692549928996306945,0,2,0.0238144,remove
9728,5692549928996306945,0,2,0.0219543,remove
9729,5692549928996306945,0,2,0.0238151,remove
9730,5692549928996306945,0,2,0.0159014,remove
9731,5692549928996306945,0,2,0.0364032,remove
9732,5692549928996306945,0,2,0.0364033,remove
9763,5692549928996306945,0,2,0.0433474,remove
9764,5692549928996306945,0,2,0.0102716,remove
9765,5692549928996306945,0,2,0.0309509,remove
9766,5692549928996306945,0,2,0.0433475,remove
9767,5692549928996306945,0,2,0.0201641,remove
9791,5692549928996306945,0,2,0.0254756,remove
9793,5692549928996306945,0,2,0.0494058,remove
9794,5692549928996306945,0,2,0.0494059,remove
9795,5692549928996306945,0,2,0.00885232,remove
9796,5692549928996306945,0,2,0.0187488,remove
9797,5692549928996306945,0,2,0.0184995,remove
9827,5692549928996306945,0,2,0.0348143,remove
9847,5692549928996306945,0,2,0.0323285,remove
9848,5692549928996306945,0,2,0.00926936,remove
9849,5692549928996306945,0,2,0.0354664,remove
9851,5692549928996306945,0,2,0.0325787,remove
9852,5692549928996306945,0,2,0.027211,remove
9897,5692549928996306945,0,2,0.0267736,remove
15426,5692549928996306953,0,15,0.02234,remove
15427,5692549928996306953,0,15,0.0207539,remove
15428,5692549928996306953,0,15,0.0198383,remove
15429,5692549928996306953,0,15,0.0152646,remove
15434,5692549928996306953,0,15,0.0223399,remove
15435,5692549928996306953,0,15,0.0198382,remove
15437,5692549928996306953,0,15,0.0114881,remove
15457,5692549928996306945,0,2,0.0480844,remove
15458,5692549928996306945,0,2,0.0270736,remove
15459,5692549928996306945,0,2,0.0295195,remove
15461,5692549928996306945,0,2,0.0174739,remove
15541,5692549928996306953,0,15,0.0206665,remove
15576,5692549928996306945,0,2,0.0331099,remove
15582,5692549928996306945,0,2,0.0171145,remove
15583,5692549928996306945,0,2,0.0279888,remove
15586,5692549928996306945,0,2,0.0426306,remove
15587,5692549928996306945,0,2,0.0138749,remove
15588,5692549928996306945,0,2,0.0135725,remove
15589,5692549928996306945,0,2,0.0181319,remove
15590,5692549928996306945,0,2,0.0365251,remove
15591,5692549928996306945,0,2,0.0242743,remove
15592,5692549928996306945,0,2,0.034168,remove
15594,5692549928996306945,0,2,0.00922223,remove
15595,5692549928996306945,0,2,0.0252499,remove
15596,5692549928996306945,0,2,0.0213928,remove
15597,5692549928996306945,0,2,0.0232142,remove
15598,5692549928996306945,0,2,0.0130635,remove
15600,5692549928996306945,0,2,0.00818991,remove
15664,5692549928996306953,0,15,0.0205112,remove
15665,5692549928996306953,0,15,0.0227115,remove
15666,5692549928996306953,0,15,0.0105116,remove
15667,5692549928996306953,0,15,0.0126022,remove
15668,5692549928996306953,0,15,0.0136482,remove
15669,5692549928996306953,0,15,0.0159257,remove
15670,5692549928996306953,0,15,0.0103303,remove
15671,5692549928996306953,0,15,0.0153736,remove
15681,5692549928996306953,0,15,0.0126021,remove
15682,5692549928996306953,0,15,0.0211832,remove
15683,5692549928996306953,0,15,0.0173879,remove
15685,5692549928996306953,0,15,0.0227113,remove
15686,5692549928996306953,0,15,0.0179314,remove
15687,5692549928996306953,0,15,0.0205111,remove
15689,5692549928996306953,0,15,0.00810192,remove
15690,5692549928996306953,0,15,0.0115665,remove
15691,5692549928996306953,0,15,0.0159255,remove
15693,5692549928996306953,0,15,0.00810169,remove
15723,5692549928996306945,0,2,0.0313023,remove
15724,5692549928996306945,0,2,0.0191464,remove
15728,5692549928996306945,0,2,0.0313028,remove
15731,5692549928996306945,0,2,0.0140659,remove
15733,5692549928996306945,0,2,0.0140668,remove
15734,5692549928996306945,0,2,0.0191456,remove
15735,5692549928996306945,0,2,0.048048,remove
15736,5692549928996306945,0,2,0.0186229,remove
15737,5692549928996306945,0,2,0.039252,remove
15740,5692549928996306945,0,2,0.0250894,remove
15741,5692549928996306945,0,2,0.0392523,remove
15742,5692549928996306945,0,2,0.0258886,remove
15743,5692549928996306945,0,2,0.0486023,remove
15744,5692549928996306945,0,2,0.025888,remove
15745,5692549928996306945,0,2,0.0233135,remove
15746,5692549928996306945,0,2,0.0233142,remove
15749,5692549928996306945,0,2,0.0215901,remove
15752,5692549928996306945,0,2,0.0215894,remove
15753,5692549928996306945,0,2,0.0238972,remove
15854,5692549928996306953,0,15,0.020387,remove
15855,5692549928996306953,0,15,0.0223231,remove
15862,5692549928996306953,0,15,0.00911452,remove
15863,5692549928996306953,0,15,0.0181474,remove
15898,5692549928996306945,0,2,0.0325387,remove
15899,5692549928996306945,0,2,0.0262444,remove
15900,5692549928996306945,0,2,0.0059648,remove
15906,5692549928996306945,0,2,0.00725472,remove
15907,5692549928996306945,0,2,0.0224343,remove
15909,5692549928996306945,0,2,0.0186033,remove
15916,5692549928996306945,0,2,0.0291775,remove
15918,5692549928996306945,0,2,0.0282786,remove
15919,5692549928996306945,0,2,0.0476601,remove
15920,5692549928996306945,0,2,0.0388357,remove
15921,5692549928996306945,0,2,0.0362229,remove
15990,5692549928996306953,0,15,0.0106467,remove
15991,5692549928996306953,0,15,0.0163929,remove
15992,5692549928996306953,0,15,0.0106465,remove
15993,5692549928996306953,0,15,0.0179454,remove
15994,5692549928996306953,0,15,0.0144978,remove
15995,5692549928996306953,0,15,0.0350759,remove
15996,5692549928996306953,0,15,0.0350757,remove
15997,5692549928996306953,0,15,0.0287013,remove
15998,5692549928996306953,0,15,0.0287015,remove
15999,5692549928996306953,0,15,0.0296894,remove
16000,5692549928996306953,0,15,0.0174752,remove
16001,5692549928996306953,0,15,0.0299011,remove
16002,5692549928996306953,0,15,0.0140245,remove
16003,5692549928996306953,0,15,0.0124668,remove
16004,5692549928996306953,0,15,0.0124666,remove
16005,5692549928996306953,0,15,0.00855314,remove
16037,5692549928996306945,0,2,0.0447192,remove
16043,5692549928996306945,0,2,0.0356043,remove
16044,5692549928996306945,0,2,0.0180823,remove
16051,5692549928996306945,0,2,0.0474392,remove
16120,5692549928996306953,0,15,0.0259542,remove
16121,5692549928996306953,0,15,0.0330556,remove
16123,5692549928996306953,0,15,0.0158667,remove
16126,5692549928996306953,0,15,0.0208367,remove
16134,5692549928996306953,0,15,0.0158665,remove
16260,5692549928996306953,0,15,0.0291714,remove
16261,5692549928996306953,0,15,0.0162555,remove
16262,5692549928996306953,0,15,0.00371084,remove
16263,5692549928996306953,0,15,0.0206163,remove
16264,5692549928996306953,0,15,0.0115594,remove
16265,5692549928996306953,0,15,0.034036,remove
16266,5692549928996306953,0,15,0.0228459,remove
16267,5692549928996306953,0,15,0.0119432,remove
16272,5692549928996306953,0,15,0.020616,remove
16273,5692549928996306953,0,15,0.0419487,remove
16274,5692549928996306953,0,15,0.041854,remove
16316,5692549928996306945,0,2,0.0246331,remove
16317,5692549928996306945,0,2,0.0314873,remove
16318,5692549928996306945,0,2,0.0183758,remove
16323,5692549928996306945,0,2,0.0262851,remove
16392,5692549928996306953,0,15,0.0178968,remove
16394,5692549928996306953,0,15,0.017897,remove
16397,5692549928996306953,0,15,0.0312369,remove
16398,5692549928996306953,0,15,0.0330614,remove
16399,5692549928996306953,0,15,0.0284421,remove
16400,5692549928996306953,0,15,0.0232278,remove
16402,5692549928996306953,0,15,0.00939318,remove
16403,5692549928996306953,0,15,0.0340797,remove
16404,5692549928996306953,0,15,0.0406855,remove
16405,5692549928996306953,0,15,0.0246906,remove
16406,5692549928996306953,0,15,0.0204768,remove
16407,5692549928996306953,0,15,0.028442,remove
16408,5692549928996306953,0,15,0.0179764,remove
16409,5692549928996306953,0,15,0.00939337,remove
16411,5692549928996306953,0,15,0.0312367,remove
16412,5692549928996306953,0,15,0.0316047,remove
16413,5692549928996306953,0,15,0.0288098,remove
16414,5692549928996306953,0,15,0.0340797,remove
16415,5692549928996306953,0,15,0.0220577,remove
16416,5692549928996306953,0,15,0.0224254,remove
16417,5692549928996306953,0,15,0.0319771,remove
16420,5692549928996306953,0,15,0.034855,remove
16421,5692549928996306953,0,15,0.0290178,remove
16422,5692549928996306953,0,15,0.0290176,remove
16546,5692549928996306953,0,15,0.0180829,remove
16554,5692549928996306953,0,15,0.0103958,remove
16578,5692549928996306953,0,15,0.010331,remove
16579,5692549928996306953,0,15,0.0394391,remove
16749,5692549928996306953,0,15,0.0229101,remove
16751,5692549928996306953,0,15,0.0229102,remove
16761,5692549928996306953,0,15,0.0173868,remove
16766,5692549928996306953,0,15,0.0389139,remove
16768,5692549928996306953,0,15,0.0493264,remove
16871,5692549928996306953,0,15,0.0379979,remove
16876,5692549928996306953,0,15,0.0219621,remove
16877,5692549928996306953,0,15,0.035173,remove
16878,5692549928996306953,0,15,0.0379979,remove
16887,5692549928996306953,0,15,0.0351731,remove
16891,5692549928996306953,0,15,0.0349048,remove
16904,5692549928996306953,0,15,0.0482074,remove
17087,5692549928996306953,0,15,0.0421436,remove
17088,5692549928996306953,0,15,0.0466842,remove
17093,5692549928996306953,0,15,0.0304626,remove
17094,5692549928996306953,0,15,0.0238548,remove
17097,5692549928996306953,0,15,0.0236944,remove
17158,5692549928996306953,0,15,0.0347305,remove
17221,5692549928996306953,0,15,0.0195443,remove
17224,5692549928996306953,0,15,0.0149392,remove
17228,5692549928996306953,0,15,0.0372688,remove
17241,5692549928996306953,0,15,0.0305058,remove
17292,5692549928996306953,0,15,0.0215607,remove
17294,5692549928996306953,0,15,0.0162255,remove
17302,5692549928996306953,0,15,0.0306532,remove
17360,5692549928996306953,0,15,0.0340618,remove
17361,5692549928996306953,0,15,0.00774079,remove
17364,5692549928996306953,0,15,0.00794551,remove
17434,5692549928996306953,0,15,0.0190785,remove
17502,5692549928996306953,0,15,0.00641228,remove
