object_id,semantic_label,first_observed_ns,last_observed_ns,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz,bbox_volume,object_mesh_vertices,object_mesh_faces,dynamic_trajectory_points,dynamic_point_frames,global_vertices_in_bbox,global_vertices_in_bbox_same_label,global_vertices_in_dynamic_swept_bbox,global_vertices_in_dynamic_swept_bbox_same_label,global_vertices_in_dynamic_swept_bbox_time_overlap,global_vertices_near_dynamic_points,global_vertices_near_dynamic_points_same_label,global_vertices_near_dynamic_points_time_overlap,dynamic_residue_candidates,dynamic_residue_protected,dynamic_residue_absent_confirmed,dynamic_residue_present_rejected,dynamic_residue_unobserved,dynamic_residue_quarantined,dynamic_residue_removed,vertices_candidate,vertices_removed,repair_candidate,repair_candidate_vertices,change_first_absent_ns,change_last_absent_ns,change_first_persistent_ns,change_last_persistent_ns,object_move_probability,skipped_by_object_move,object_alignment_applied,object_alignment_support_vertices,object_alignment_translation_norm_m,object_alignment_before_median_m,object_alignment_after_median_m,prior_matched,prior_match_object_id,prior_match_distance_m,prior_absent_evidence,prior_present_evidence,prior_stationarity_alpha,prior_stationarity_beta,prior_stationarity_mean,session_state
5692549928996306944,2,2769999001,4420002000,-16.6224,24.3762,1.15888,0.143509,0.207331,0.13706,0.00407806,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,-1,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306945,2,0,17500000000,-12.9731,27.7659,1.84232,0.524255,0.517765,1.42092,0.385696,4041,1347,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,false,0,0,20000000000,0,15000000000,0.377541,true,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306946,17,5920002000,14520002001,-15.0803,25.4792,2.18451,0.525712,0.572864,1.57051,0.472976,0,0,170,170,0,0,90,0,90,34,0,34,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,-1,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306947,2,0,18446744073709551615,-13.8656,21.9453,1.80219,0.971235,0.761013,1.59452,1.17855,13914,4638,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,13914,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306948,2,0,18446744073709551615,-13.9115,21.6073,1.12952,0.52316,0.0423183,0.228605,0.00506115,1959,653,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,1959,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306949,11,0,18446744073709551615,-15.0603,22.2408,1.47542,0.911802,0.886602,0.945503,0.76435,34473,11491,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,34473,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306950,11,0,18446744073709551615,-13.125,22.2299,1.47568,0.933404,0.910414,0.945049,0.803087,32742,10914,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,32742,0,0,0,25000000000,0.00669285,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306951,11,0,18446744073709551615,-11.8163,22.2512,1.47727,0.973606,0.868776,0.94654,0.800627,26331,8777,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,26331,0,0,0,25000000000,0.00669285,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306952,2,0,18446744073709551615,-13.0417,27.8305,1.83788,0.64459,0.656828,1.36278,0.576981,9363,3121,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,9363,0,0,10000000000,0,0.0179862,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306953,15,0,18446744073709551615,-9.00328,26.7685,2.2381,0.272291,0.519968,2.09102,0.296052,2880,960,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,false,0,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
5692549928996306954,2,0,18446744073709551615,-8.15103,27.1249,1.39468,0.419378,0.249063,0.792872,0.0828169,6480,2160,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,6480,0,0,0,0,0.119203,false,false,0,0,0,0,false,0,inf,0,0,0,0,0,current
