name,mean[s],min[s],max[s],std-dev[s]
active_window/all,0.021854,-1.72962,4.51912,0.199682
active_window/create_data,0.00475309,0.00330964,0.0136737,0.00165907
active_window/extract_object,-0.149813,-3.61907,-2.75e-07,0.481058
active_window/extract_output,0.00670278,0.00353118,0.019479,0.00293037
active_window/sinks,2.15187e-05,1.4115e-05,0.000111366,8.97458e-06
active_window/update_map,0.00664514,0.00396492,0.0641641,0.00353751
backend,3.2314e-06,1.467e-06,1.7324e-05,1.92894e-06
backend/copy_mesh_delta,0.000613173,4.4272e-05,0.0185063,0.00220731
backend/process_factors,3.0747e-05,1.1e-06,0.000106325,2.66571e-05
backend/read_graph,7.27763e-05,1.8332e-05,0.000380937,6.92729e-05
backend/sinks,1.16735e-05,7.699e-06,3.3089e-05,3.90297e-06
backend/spin,0.0012968,9.8718e-05,0.021296,0.00296637
backend/update,0.000728826,9.3218e-05,0.0187116,0.00222039
backend/update_khronos_objects,9.35607e-06,2.291e-06,0.000132631,2.06678e-05
change_detection_recompute/all,0.0705817,0.0110745,0.123011,0.0345212
change_detection_recompute/background,0.0160637,0.00169616,0.0340655,0.00980875
change_detection_recompute/objects,0.00142106,1.65e-06,0.00415007,0.00118874
change_detection_recompute/update_ray_verificator,0.0530849,0.0093687,0.0867739,0.0242267
dsg_updater/optimization,0.00374986,0.00146765,0.00938098,0.00252018
dsg_updater/update_layers,0.000217419,9.5784e-05,0.00146664,0.000226921
frontend,2.55145e-06,7.33e-07,5.867e-06,1.0094e-06
frontend/dgraph_compresssion,0.00349813,0.00172467,0.0071521,0.0012568
frontend/interlayer_edges,1.75111e-05,4.949e-06,3.8864e-05,6.43712e-06
frontend/launch_callbacks,0.00586267,0.0019518,0.00931132,0.00161491
frontend/merge_graph,7.49186e-05,2.8964e-05,0.000358022,5.2107e-05
frontend/mesh_archive,0.000511345,1.769e-05,0.00293448,0.000635488
frontend/mesh_compression,0.00463606,0.00131797,0.00798483,0.00139027
frontend/mesh_update,0.000167045,4.3722e-05,0.00045674,7.08118e-05
frontend/postmesh_callbacks,0.000204258,0.000109625,0.0011055,0.000122533
frontend/sinks,0.000757398,0.000243814,0.00180239,0.000305359
frontend/spin,0.00679208,0.00227389,0.0112734,0.00189465
frontend/update_posegraph,2.33267e-05,3.3e-06,4.4822e-05,1.05273e-05
integration/tracking,0.00258469,0.00188269,0.0166108,0.000943996
merge_mesh/all,0.00164728,0.000305593,0.00268847,0.000685955
motion_detection/all,0.0108464,0.0013495,4.49607,0.185604
motion_detection/clustering,8.72222e-06,8.25e-07,0.000213383,1.5345e-05
motion_detection/compute_point_map,0.0106526,0.0013331,4.49576,0.185599
motion_detection/merge_clusters,1.0728e-06,2.74e-07,1.0633e-05,1.7738e-06
object_detection/all,0.00143831,0.00058048,0.00603,0.000681597
object_detection/clustering,0.00143572,0.000578188,0.00602689,0.000680909
reconcile/all,0.00166956,0.000321725,0.00272,0.000691713
reconcile/mesh,0.0016509,0.000309901,0.00269158,0.000686037
reconcile/objects,1.46021e-05,4.217e-06,2.704e-05,7.07643e-06
tracking/all,-0.00266587,-1.76065,0.00395575,0.0727466
tracking/associate,2.32093e-05,1.009e-06,0.000411918,3.42997e-05
visualize/active_window/all,1.68885e-05,1.0266e-05,0.000106784,8.01491e-06
visualize/active_window/frame_data,3.23392e-06,1.834e-06,4.0422e-05,1.88331e-06
visualize/active_window/map,5.90316e-06,3.299e-06,6.8744e-05,3.72331e-06
visualize/active_window/tracking,3.41897e-06,1.741e-06,9.3676e-05,4.0084e-06
