frame,session,phase,session_checkpoint,session_time_s,source_time_s,ply,overlay,dynamic_history,dynamic_tracks,display_object_meshes,initial_vertices,removed_vertices,injected_vertices,final_vertices,prior_matched_objects,prior_restored_objects,prior_absent_objects,prior_unobserved_objects,cross_session_prior_vertices,cross_session_current_vertices,cross_session_prior_absent_vertices,cross_session_prior_persistent_vertices,cross_session_prior_unobserved_vertices,cross_session_current_injected_vertices
0,A,within_session,0,3.620000001,2.620000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
1,A,within_session,1,5.820002001,4.820002001,frames/frame_001_A_01.ply,frames/frame_001_A_01.json,diagnostics/A_dynamic_history.json,0,True,5188,0,0,5188,0,0,0,0,0,0,0,0,0,0
2,A,within_session,2,8.070002001,7.070002001,frames/frame_002_A_02.ply,frames/frame_002_A_02.json,diagnostics/A_dynamic_history.json,1,True,5199,0,0,5199,0,0,0,0,0,0,0,0,0,0
3,A,within_session,3,10.320002,9.320002,frames/frame_003_A_03.ply,frames/frame_003_A_03.json,diagnostics/A_dynamic_history.json,1,True,5859,0,0,5859,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,12.570002,11.570002,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
5,A,within_session,5,14.820002,13.820002,frames/frame_005_A_05.ply,frames/frame_005_A_05.json,diagnostics/A_dynamic_history.json,1,True,12964,0,0,12964,0,0,0,0,0,0,0,0,0,0
6,A,within_session,6,17.120002,16.120002,frames/frame_006_A_06.ply,frames/frame_006_A_06.json,diagnostics/A_dynamic_history.json,0,True,14360,0,0,14360,0,0,0,0,0,0,0,0,0,0
7,A,within_session,7,19.370002,18.370002,frames/frame_007_A_07.ply,frames/frame_007_A_07.json,diagnostics/A_dynamic_history.json,0,True,17258,0,0,17258,0,0,0,0,0,0,0,0,0,0
8,A,within_session,8,21.620002,20.620002,frames/frame_008_A_08.ply,frames/frame_008_A_08.json,diagnostics/A_dynamic_history.json,0,True,20603,82,3169,23690,0,0,0,0,0,0,0,0,0,0
9,A,within_session,9,23.870002,22.870002,frames/frame_009_A_09.ply,frames/frame_009_A_09.json,diagnostics/A_dynamic_history.json,0,True,22513,85,3400,25828,0,0,0,0,0,0,0,0,0,0
10,A,within_session,10,26.120002001,25.120002001,frames/frame_010_A_10.ply,frames/frame_010_A_10.json,diagnostics/A_dynamic_history.json,0,True,26878,85,6684,33477,0,0,0,0,0,0,0,0,0,0
11,A,within_session,11,28.370002001,27.370002001,frames/frame_011_A_11.ply,frames/frame_011_A_11.json,diagnostics/A_dynamic_history.json,0,True,27971,85,6684,34570,0,0,0,0,0,0,0,0,0,0
12,A,within_session,12,30.620002001,29.620002001,frames/frame_012_A_12.ply,frames/frame_012_A_12.json,diagnostics/A_dynamic_history.json,0,True,28169,205,11646,39610,0,0,0,0,0,0,0,0,0,0
13,B,cross_session_with_A_memory,0,3.5,214.769982,frames/frame_013_B_00.ply,frames/frame_013_B_00.json,diagnostics/B_dynamic_history.json,0,True,39610,0,0,39180,0,10,1,10,39610,5156,600,10443,28567,170
14,B,cross_session_with_A_memory,1,5.75,212.519982,frames/frame_014_B_01.ply,frames/frame_014_B_01.json,diagnostics/B_dynamic_history.json,0,True,39610,0,0,37052,0,10,1,10,39610,8905,2914,14536,22160,356
