frame,session,phase,session_checkpoint,session_time_s,source_time_s,ply,overlay,dynamic_history,dynamic_tracks,display_object_meshes,initial_vertices,removed_vertices,injected_vertices,final_vertices,prior_matched_objects,prior_restored_objects,prior_absent_objects,prior_unobserved_objects,cross_session_prior_vertices,cross_session_current_vertices,cross_session_prior_absent_vertices,cross_session_prior_persistent_vertices,cross_session_prior_unobserved_vertices,cross_session_current_injected_vertices
0,A,within_session,0,3.620000001,2.620000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,3.720000001,2.720000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,3.820000001,2.820000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,3.920000001,2.920000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.020000001,3.020000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.120000001,3.120000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.220000001,3.220000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.320000001,3.320000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.420000001,3.420000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.520000001,3.520000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.620000001,3.620000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.720000001,3.720000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.820000001,3.820000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,4.920000001,3.920000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,5.020000001,4.020000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
0,A,within_session,0,5.120000001,4.120000001,frames/frame_000_A_00.ply,frames/frame_000_A_00.json,diagnostics/A_dynamic_history.json,1,True,4289,0,0,4289,0,0,0,0,0,0,0,0,0,0
