namespace,ply_file,vertices,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,extent_x,extent_y,extent_z,change_states,panoptic_labels,submap_ids
SM_Bed_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Bed_b.ply,16356,-4.9800000,-5.0999999,-0.9953198,-2.8999999,-3.2200000,-0.0200000,-4.0800886,-4.0568139,-0.5920596,2.0800002,1.8799999,0.9753198,Persistent,Instance,29
SM_Bed_table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Bed_table_a.ply,13329,-1.9050000,-5.4803123,-0.9974293,-0.9749999,-4.8149996,-0.4950000,-1.3539526,-5.1828000,-0.7895922,0.9300001,0.6653128,0.5024293,New|Persistent,Instance,32|42
SM_Ceiling_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Ceiling_a.ply,116400,-5.5250001,-5.4826841,1.6250000,2.7996547,1.5189940,1.7094498,-2.3983799,-1.9747367,1.7011885,8.3246548,7.0016781,0.0844498,New|Persistent,Background,6|28
SM_Chair_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Chair_a.ply,8598,0.0289117,0.4528646,-0.9976743,0.9932631,1.2593586,-0.1221621,0.7090957,0.7612669,-0.5288896,0.9643515,0.8064940,0.8755122,Persistent,Instance,4
SM_Chair_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Chair_b.ply,12555,-1.4250000,0.4950000,-0.9975704,-0.4950000,1.4250000,-0.1203865,-0.9595248,0.9361373,-0.7087242,0.9300000,0.9300000,0.8771839,Persistent,Instance,12
SM_Coffee_Machine_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Coffee_Machine_a.ply,9180,-0.3100000,-2.2300000,-0.3100000,0.3100000,-1.6820781,0.3100000,-0.0077176,-1.8165765,-0.0098886,0.6200000,0.5479219,0.6200000,Persistent,Instance,13
SM_Coffee_table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Coffee_table_a.ply,11076,-3.4491978,-1.4250000,-0.9973695,-2.1156378,-0.1800714,-0.4743323,-2.8307850,-0.7703354,-0.6132041,1.3335600,1.2449286,0.5230372,Persistent,Instance,24
SM_Door_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Door_a.ply,25179,2.4150000,-0.9450000,-0.9956347,2.8010895,0.4650000,1.2750000,2.7620653,-0.2691748,-0.0230463,0.3860896,1.4100000,2.2706347,Persistent,Instance,1
SM_Door_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Door_b.ply,37695,-0.4650000,-4.2321653,-0.9972258,-0.2850000,-2.8950000,1.4250000,-0.3513316,-3.5221765,0.2364259,0.1800000,1.3371654,2.4222257,Absent|New,Instance,19|41
SM_Floor_Lamp_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_from_scratch_clouds_all/SM_Floor_Lamp_a.ply,10923,-2.3849998,0.4950000,-0.9977723,-1.4549999,1.4250000,0.7183378,-1.8013450,0.9557628,-0.1214400,0.9299998,0.9300000,1.7161101,Persistent,Instance,27
