id,name,instance_id,class_id,panoptic_label,change_state,is_active,voxel_size,truncation_distance,num_blocks
0,SM_Kitchen_a,0,17,Instance,Persistent,1,0.04,0.08,47
1,SM_Door_a,1,14,Instance,Persistent,1,0.03,0.06,18
2,SM_Floor_a,2,1,Background,Persistent,1,0.05,0.1,69
3,SM_Walls_a,3,2,Background,Persistent,1,0.05,0.1,57
4,SM_Chair_a,4,8,Instance,Persistent,1,0.03,0.06,14
5,FreeSpace,-1,-1,FreeSpace,New,1,0.3,0.6,60
6,SM_Ceiling_a,5,0,Background,Persistent,1,0.05,0.1,60
7,SM_Wall_Clock_a,6,28,Instance,Persistent,1,0.03,0.06,3
8,SM_Table_Decor_a,8,25,Instance,Persistent,1,0.02,0.04,2
9,SM_Picture_d,9,18,Instance,Persistent,1,0.03,0.06,6
10,SM_Floor_a,12,1,Background,Persistent,1,0.05,0.1,4
11,SM_Table_a,22,24,Instance,Persistent,1,0.03,0.06,18
12,SM_Chair_b,24,8,Instance,Persistent,1,0.03,0.06,12
13,SM_Coffee_Machine_a,29,29,Instance,Persistent,1,0.02,0.04,8
14,SM_Floor_a,30,1,Background,Persistent,1,0.05,0.1,36
15,SM_Walls_a,32,2,Background,New,1,0.05,0.1,121
16,SM_Office_Chair_base_a,33,8,Instance,Absent,1,0.03,0.06,17
17,SM_TV_Wall_a,35,2,Background,Persistent,1,0.05,0.1,50
18,SM_Table_b,36,24,Instance,Absent,1,0.03,0.06,14
19,SM_Door_b,41,14,Instance,Absent,1,0.03,0.06,18
20,SM_Picture_e,42,18,Instance,Persistent,1,0.03,0.06,16
21,SM_TV_a,43,27,Instance,Persistent,1,0.03,0.06,9
22,SM_Windows_Windows_a,44,3,Background,Persistent,1,0.05,0.1,26
23,SM_Journal_c,45,16,Instance,Persistent,1,0.02,0.04,6
24,SM_Coffee_table_a,46,9,Instance,Persistent,1,0.03,0.06,20
25,SM_Sofa_a,47,22,Instance,Persistent,1,0.04,0.08,18
26,SM_Picture_b,52,18,Instance,Persistent,1,0.03,0.06,20
27,SM_Floor_Lamp_a,55,15,Instance,Persistent,1,0.03,0.06,16
28,SM_Ceiling_a,63,0,Background,New,1,0.05,0.1,64
29,SM_Bed_b,82,4,Instance,Persistent,1,0.04,0.08,24
30,SM_Picture_f,87,18,Instance,Persistent,1,0.03,0.06,6
31,SM_Floor_a,95,1,Background,New,1,0.05,0.1,41
32,SM_Bed_table_a,96,6,Instance,Persistent,1,0.03,0.06,8
33,SM_Office_Chair_base_a,97,8,Instance,Persistent,1,0.03,0.06,15
34,SM_Laptop_a,100,30,Instance,Persistent,1,0.02,0.04,9
35,SM_Stack_of_Books_b,104,23,Instance,Persistent,1,0.02,0.04,16
36,SM_Stack_of_Books_e,107,23,Instance,Persistent,1,0.02,0.04,12
37,SM_Office_Chair_base_a,112,8,Instance,Absent,1,0.03,0.06,14
38,SM_Laptop_a,116,30,Instance,New,1,0.02,0.04,9
39,SM_Table_b,117,24,Instance,New,1,0.03,0.06,13
40,SM_Office_Chair_base_a,118,8,Instance,New,1,0.03,0.06,8
41,SM_Door_b,119,14,Instance,New,1,0.03,0.06,18
42,SM_Bed_table_a,120,6,Instance,New,1,0.03,0.06,8
