namespace,ply_file,vertices,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,extent_x,extent_y,extent_z,change_states,panoptic_labels,submap_ids
SM_Bed_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Bed_a.ply,42087,-3.9199615,-5.4815655,-0.9986312,-1.3000000,-2.5799999,-0.0200000,-2.4824423,-4.3255288,-0.4836083,2.6199615,2.9015656,0.9786312,Absent|Unobserved,Instance,9|34
SM_Bed_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Bed_b.ply,16356,-4.9800000,-5.0999999,-0.9953198,-2.8999999,-3.2200000,-0.0200000,-4.0800886,-4.0568139,-0.5920596,2.0800002,1.8799999,0.9753198,Persistent,Instance,47
SM_Bed_lamp_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Bed_lamp_a.ply,5754,-1.4660342,-5.2649999,-0.9450000,-0.5922366,-4.8149996,0.4650000,-0.8993777,-5.0610128,-0.2101591,0.8737976,0.4500003,1.4100000,Absent,Instance,20
SM_Bed_lamp_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Bed_lamp_b.ply,6126,-4.7078314,-5.2649999,-0.9450000,-3.8549998,-4.8149996,0.0597909,-4.3885783,-5.0872613,-0.4334688,0.8528316,0.4500003,1.0047909,Unobserved,Instance,22|23
SM_Bed_table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Bed_table_a.ply,13140,-1.8449999,-5.4834137,-0.9976150,-0.9749999,-4.8149996,-0.4950000,-1.3378119,-5.1806741,-0.7741833,0.8700000,0.6684141,0.5026151,Absent|New,Instance,18|56
SM_Bed_table_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Bed_table_b.ply,3621,-4.7849998,-5.4824543,-0.9450000,-4.0867982,-4.8026400,-0.4950000,-4.3852219,-5.1441863,-0.5668840,0.6982017,0.6798143,0.4500000,Unobserved,Instance,21
SM_Ceiling_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Ceiling_a.ply,163320,-5.5250001,-5.4826841,1.6250000,2.7250001,1.5149022,1.7101747,-2.3044450,-1.8797855,1.7021341,8.2500002,6.9975864,0.0851747,New|Persistent,Background,31|46
SM_Chair_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Chair_a.ply,7422,0.0150000,0.4528646,-1.0000651,1.4250000,1.4250000,-0.0150000,0.6971187,0.9438853,-0.5323135,1.4100000,0.9721353,0.9850651,Persistent,Instance,3
SM_Chair_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Chair_b.ply,22917,-1.4250000,0.4950000,-0.9990351,-0.4950000,1.4250000,-0.1203865,-1.0102375,0.9168151,-0.6840382,0.9300000,0.9300000,0.8786487,Persistent,Instance,7|38
SM_Coffee_Machine_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Coffee_Machine_a.ply,9180,-0.3100000,-2.2300000,-0.3100000,0.3100000,-1.6820781,0.3100000,-0.0077176,-1.8165765,-0.0098886,0.6200000,0.5479219,0.6200000,Persistent,Instance,39
SM_Coffee_table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Coffee_table_a.ply,16104,-3.4490135,-1.4250000,-0.9976458,-1.9349999,-0.0150000,-0.4784305,-2.5717946,-0.7230487,-0.6909894,1.5140135,1.4100000,0.5192153,Persistent,Instance,11
SM_Cup_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Cup_a.ply,495,-2.8699999,-0.4700000,-0.4993070,-2.5699999,-0.3300000,-0.4405960,-2.7013806,-0.3851588,-0.4735073,0.3000000,0.1400000,0.0587110,Unobserved,Instance,13
SM_Decor_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Decor_a.ply,10569,-2.8699999,-2.3998351,0.3300000,-2.2500000,-2.1242938,0.9499999,-2.5737766,-2.2573439,0.5913153,0.6199999,0.2755413,0.6199999,Absent,Instance,27
SM_Digital_Clock_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Digital_Clock_a.ply,6570,-3.3449998,-2.3849998,0.0150000,-2.4150000,-2.1240978,0.4650000,-2.8192603,-2.2454355,0.2798827,0.9299998,0.2609019,0.4500000,Absent,Instance,26
SM_Door_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Door_a.ply,25185,2.4150000,-0.9450000,-0.9960468,2.8007629,0.4650000,1.2750000,2.7619740,-0.2696244,-0.0228371,0.3857629,1.4100000,2.2710468,Persistent,Instance,1
SM_Door_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Door_b.ply,41019,-0.4650000,-4.2309060,-0.9971796,-0.2850000,-2.8950000,1.4250000,-0.3530341,-3.5415705,0.1840611,0.1800000,1.3359060,2.4221795,New|Persistent,Instance,30|55
SM_Floor_Lamp_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Floor_Lamp_a.ply,19398,-4.6794190,0.4950000,-0.9977723,-1.4549999,1.4250000,0.7191992,-2.9147641,0.9576324,0.0004136,3.2244191,0.9300000,1.7169715,Persistent|Unobserved,Instance,12|45
SM_Floor_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Floor_a.ply,104496,-5.1519542,-5.4816236,-1.0061679,2.7750001,1.5185570,-0.8250000,-1.6929572,-1.7153844,-0.9904339,7.9269543,7.0001806,0.1811679,New|Persistent,Background,32|48
SM_Journal_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Journal_a.ply,2622,-3.1899998,-2.4000247,0.3300000,-2.5699999,-2.2500000,0.6300000,-2.8503293,-2.3313628,0.4554662,0.6199999,0.1500247,0.3000000,Absent,Instance,28
SM_Journal_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Journal_b.ply,2619,-3.4180171,-0.9500000,-0.6300000,-2.8899999,-0.6027397,-0.4544300,-3.1648518,-0.8019717,-0.4804513,0.5280173,0.3472603,0.1755700,Unobserved,Instance,15
SM_Journal_c,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Journal_c.ply,3834,-2.8699999,-0.9500000,-0.4998214,-2.1300001,-0.4900000,-0.4609147,-2.4258639,-0.7216261,-0.4822314,0.7399998,0.4600000,0.0389067,Persistent,Instance,16
SM_Kitchen_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Kitchen_a.ply,40653,-0.1800000,-2.3111553,-0.9800000,2.7996626,-1.3000000,1.6999999,1.4055547,-1.9497602,0.2328936,2.9796626,1.0111554,2.6799999,Persistent,Instance,0
SM_Laptop_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Laptop_a.ply,22002,-1.2700000,-4.1499996,-0.2994809,-0.6500000,-3.2100000,0.0367667,-0.9568618,-3.6808657,-0.2121502,0.6200000,0.9399996,0.3362476,New|Persistent,Instance,50|52
SM_Office_Chair_base_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Office_Chair_base_a.ply,33339,-2.3849998,-4.3049998,-0.9987509,-0.9749999,-2.8950000,-0.0674626,-1.7547361,-3.4587555,-0.6225766,1.4099998,1.4099998,0.9312883,Absent|New|Persistent,Instance,41|49|51|54
SM_Picture_c,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Picture_c.ply,17337,-3.8849998,1.4826347,0.0450000,-0.4628845,1.5169052,1.4849999,-2.4098594,1.5021601,0.6951897,3.4221152,0.0342705,1.4399999,Persistent,Instance,44
SM_Picture_d,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Picture_d.ply,9237,-1.4250000,1.4832774,0.4950000,-0.0150000,1.5169562,1.4236684,-0.7647653,1.5044976,0.9199591,1.4100000,0.0336788,0.9286684,Persistent,Instance,37
SM_Picture_e,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Picture_e.ply,13050,-4.2749996,-5.4716811,-0.2850000,-1.7550000,-5.4465156,1.5149999,-3.1115033,-5.4650275,0.5343448,2.5199996,0.0251656,1.7999999,Persistent,Instance,35
SM_Plant_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Plant_a.ply,7218,-3.5100000,-2.3750925,0.3300000,-2.8899999,-2.1244390,0.7900000,-3.2941364,-2.2336555,0.5926992,0.6200001,0.2506535,0.4600000,Unobserved,Instance,29
SM_Sofa_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Sofa_a.ply,49938,-5.0999999,-1.2600000,-0.9991381,-1.3000000,1.5172155,-0.0200000,-3.5507981,0.5585434,-0.4936592,3.8000000,2.7772155,0.9791381,Absent|Persistent,Instance,10|43
SM_Stack_of_Books_e,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Stack_of_Books_e.ply,13977,-3.4700000,-2.3267510,-0.2300000,-2.1700001,-2.1500001,0.3995582,-2.7908202,-2.2726429,0.0742413,1.3000000,0.1767509,0.6295582,Persistent,Instance,25
SM_Stack_of_Books_f,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Stack_of_Books_f.ply,4599,-1.5899999,-5.4299998,-0.6300000,-1.2900000,-4.8227544,-0.4459144,-1.4456395,-5.1094699,-0.5275826,0.3000000,0.6072454,0.1840856,Persistent,Instance,19
SM_TV_Wall_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_TV_Wall_a.ply,74829,-4.7750001,-3.1750000,-0.9992138,-0.8250000,-1.6250001,1.7080967,-2.7508282,-2.2191998,0.3021360,3.9500001,1.5499998,2.7073105,Absent|Persistent,Background,8|24
SM_TV_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_TV_a.ply,9108,-3.5249999,-1.8582213,-0.4650000,-1.9349999,-1.6690748,0.4650000,-2.7301202,-1.7689643,0.0568103,1.5899999,0.1891465,0.9300000,Persistent,Instance,14
SM_Table_Decor_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Table_Decor_a.ply,669,-0.2843350,0.9291121,-0.2504331,-0.0923806,1.1619574,-0.1868727,-0.1668095,1.0011124,-0.2249401,0.1919544,0.2328452,0.0635604,Persistent,Instance,6
SM_Table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Table_a.ply,11052,-0.6166914,0.5241156,-0.9998899,0.4650000,1.4250000,-0.1833421,-0.1613361,0.9318926,-0.4165357,1.0816914,0.9008844,0.8165478,Persistent,Instance,4
SM_Table_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Table_b.ply,17724,-1.4250000,-4.3049998,-0.9983569,-0.4950000,-2.8950000,-0.0150000,-0.9167650,-3.7612095,-0.6155152,0.9300000,1.4099998,0.9833570,Absent|New,Instance,42|53
SM_Wall_Clock_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Wall_Clock_a.ply,3435,-0.4650000,1.4522985,0.4950000,0.4650000,1.5173711,0.9449999,0.0240323,1.5039201,0.7166310,0.9300000,0.0650725,0.4500000,Persistent,Instance,5
SM_Walls_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Walls_a.ply,303774,-5.5749998,-5.4887977,-1.0041133,2.8026357,1.5199168,1.7064676,-2.2675219,-1.8910852,0.3476781,8.3776355,7.0087144,2.7105809,New|Persistent,Background,33|40
SM_Windows_Windows_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/diagnostics/B_with_prior_clouds_all/SM_Windows_Windows_a.ply,11814,-5.5749998,-4.9749999,-0.7750000,-5.0993018,0.0250000,1.6750000,-5.4737314,-2.1150384,0.6206067,0.4756980,4.9999999,2.4500000,Persistent,Background,17
