prior_id,prior_name,prior_state,current_id,current_name,current_state,associated,centroid_distance_m,bbox_iou
0,SM_Kitchen_a,Persistent,0,SM_Kitchen_a,Persistent,1,0,1
1,SM_Door_a,Persistent,1,SM_Door_a,Persistent,1,0,1
2,SM_Floor_a,Persistent,2,SM_Floor_a,Persistent,1,0,1
3,SM_Walls_a,Persistent,3,SM_Walls_a,Persistent,1,0,1
4,SM_Chair_a,Persistent,4,SM_Chair_a,Persistent,1,0,1
5,FreeSpace,New,-1,,,0,inf,0
6,SM_Ceiling_a,Persistent,6,SM_Ceiling_a,Persistent,1,0,1
7,SM_Wall_Clock_a,Persistent,7,SM_Wall_Clock_a,Persistent,1,0,1
8,SM_Table_Decor_a,Persistent,8,SM_Table_Decor_a,Persistent,1,0,1
9,SM_Picture_d,Persistent,9,SM_Picture_d,Persistent,1,0,1
10,SM_Floor_a,Persistent,10,SM_Floor_a,Persistent,1,0,1
11,SM_Table_a,Persistent,11,SM_Table_a,Persistent,1,0,1
12,SM_Chair_b,Persistent,12,SM_Chair_b,Persistent,1,0,1
13,SM_Coffee_Machine_a,Persistent,13,SM_Coffee_Machine_a,Persistent,1,0,1
14,SM_Floor_a,Persistent,14,SM_Floor_a,Persistent,1,0,1
15,SM_Walls_a,New,15,SM_Walls_a,New,1,0,1
16,SM_Office_Chair_base_a,Absent,16,SM_Office_Chair_base_a,Absent,1,0,1
17,SM_TV_Wall_a,Persistent,17,SM_TV_Wall_a,Persistent,1,0,1
18,SM_Table_b,Absent,18,SM_Table_b,Absent,1,0,1
19,SM_Door_b,Absent,19,SM_Door_b,Absent,1,0,1
20,SM_Picture_e,Persistent,20,SM_Picture_e,Persistent,1,0,1
21,SM_TV_a,Persistent,21,SM_TV_a,Persistent,1,0,1
22,SM_Windows_Windows_a,Persistent,22,SM_Windows_Windows_a,Persistent,1,0,1
23,SM_Journal_c,Persistent,23,SM_Journal_c,Persistent,1,0,1
24,SM_Coffee_table_a,Persistent,24,SM_Coffee_table_a,Persistent,1,0,1
25,SM_Sofa_a,Persistent,25,SM_Sofa_a,Persistent,1,0,1
26,SM_Picture_b,Persistent,26,SM_Picture_b,Persistent,1,0,1
27,SM_Floor_Lamp_a,Persistent,27,SM_Floor_Lamp_a,Persistent,1,0,1
28,SM_Ceiling_a,New,28,SM_Ceiling_a,New,1,0,1
29,SM_Bed_b,Persistent,29,SM_Bed_b,Persistent,1,0,1
30,SM_Picture_f,Persistent,30,SM_Picture_f,Persistent,1,0,1
31,SM_Floor_a,New,31,SM_Floor_a,New,1,0,1
32,SM_Bed_table_a,Persistent,32,SM_Bed_table_a,Persistent,1,0,1
33,SM_Office_Chair_base_a,Persistent,33,SM_Office_Chair_base_a,Persistent,1,0,1
34,SM_Laptop_a,Persistent,34,SM_Laptop_a,Persistent,1,0,1
35,SM_Stack_of_Books_b,Persistent,35,SM_Stack_of_Books_b,Persistent,1,0,1
36,SM_Stack_of_Books_e,Persistent,36,SM_Stack_of_Books_e,Persistent,1,0,1
37,SM_Office_Chair_base_a,Absent,37,SM_Office_Chair_base_a,Absent,1,0,1
38,SM_Laptop_a,New,38,SM_Laptop_a,New,1,0,1
39,SM_Table_b,New,39,SM_Table_b,New,1,0,1
40,SM_Office_Chair_base_a,New,40,SM_Office_Chair_base_a,New,1,0,1
41,SM_Door_b,New,41,SM_Door_b,New,1,0,1
42,SM_Bed_table_a,New,42,SM_Bed_table_a,New,1,0,1
