prior_id,name,class_id,instance_id,panoptic_label,prior_state,prior_vertices,current_id,current_state,current_vertices,associated,centroid_distance_m,bbox_iou,delta_m,alpha,beta,stationarity_mean,decision,output_state
0,SM_Kitchen_a,17,0,Instance,Persistent,40212,0,Persistent,40212,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
1,SM_Door_a,14,1,Instance,Persistent,25179,1,Persistent,25179,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
2,SM_Floor_a,1,2,Background,Persistent,45711,2,Persistent,45711,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
3,SM_Walls_a,2,3,Background,Persistent,76950,3,Persistent,76950,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
4,SM_Chair_a,8,4,Instance,Persistent,8598,4,Persistent,8598,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
5,FreeSpace,-1,-1,FreeSpace,New,11703,-1,,0,0,inf,0,4,2,1,0.666667,keep_freespace_state,New
6,SM_Ceiling_a,0,5,Background,Persistent,46344,6,Persistent,46344,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
7,SM_Wall_Clock_a,28,6,Instance,Persistent,3840,7,Persistent,3840,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
8,SM_Table_Decor_a,25,8,Instance,Persistent,2853,8,Persistent,2853,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
9,SM_Picture_d,18,9,Instance,Persistent,9207,9,Persistent,9207,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
10,SM_Floor_a,1,12,Background,Persistent,528,10,Persistent,528,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
11,SM_Table_a,24,22,Instance,Persistent,16773,11,Persistent,16773,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
12,SM_Chair_b,8,24,Instance,Persistent,12555,12,Persistent,12555,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
13,SM_Coffee_Machine_a,29,29,Instance,Persistent,9180,13,Persistent,9180,1,0,1,0,5,1,0.833333,keep_current_supported_present,Persistent
14,SM_Floor_a,1,30,Background,Persistent,24417,14,Persistent,24417,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
15,SM_Walls_a,2,32,Background,New,172044,15,New,172044,1,0,1,0,2,1,0.666667,keep_non_instance_state,New
16,SM_Office_Chair_base_a,8,33,Instance,Absent,12660,16,Absent,12660,1,0,1,0,5,1,0.833333,restore_current_supported_prior,Persistent
17,SM_TV_Wall_a,2,35,Background,Persistent,40932,17,Persistent,40932,1,0,1,0,2,1,0.666667,keep_non_instance_state,Persistent
18,SM_Table_b,24,36,Instance,Absent,10278,18,Absent,10278,1,0,1,0,5,1,0.833333,restore_current_supported_prior,Persistent
19,SM_Door_b,14,41,Instance,Absent,15762,19,Absent,15762,1,0,1,0,5,1,0.833333,restore_current_supported_prior,Persistent
