prior_id,name,prior_state,prior_vertices,current_evidence_vertices,visible_ratio,depth_consistent_ratio,free_space_conflict_ratio,visibility_source,decision
0,SM_Kitchen_a,Persistent,40653,40212,1,1,0,current_b_panmap_association,keep_current_supported_present
1,SM_Door_a,Persistent,25185,25179,1,1,0,current_b_panmap_association,keep_current_supported_present
2,FreeSpace,Unobserved,13176,0,0,0,0,current_b_panmap_association,keep_freespace_state
3,SM_Chair_a,Persistent,7422,8598,1,1,0,current_b_panmap_association,keep_current_supported_present
4,SM_Table_a,Persistent,11052,16773,1,1,0,current_b_panmap_association,keep_current_supported_present
5,SM_Wall_Clock_a,Persistent,3435,3840,1,1,0,current_b_panmap_association,keep_current_supported_present
6,SM_Table_Decor_a,Persistent,669,2853,1,1,0,current_b_panmap_association,keep_current_supported_present
7,SM_Chair_b,Persistent,10362,12555,1,1,0,current_b_panmap_association,keep_current_supported_present
8,SM_TV_Wall_a,Persistent,39663,40932,1,1,0,current_b_panmap_association,keep_non_instance_state
9,SM_Bed_a,Absent,29736,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
10,SM_Sofa_a,Absent,26301,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
11,SM_Coffee_table_a,Persistent,16104,11076,1,1,0,current_b_panmap_association,keep_current_supported_present
12,SM_Floor_Lamp_a,Unobserved,8475,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
13,SM_Cup_a,Unobserved,495,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
14,SM_TV_a,Persistent,9108,8937,1,1,0,current_b_panmap_association,keep_current_supported_present
15,SM_Journal_b,Unobserved,2619,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
16,SM_Journal_c,Persistent,3834,7683,1,1,0,current_b_panmap_association,keep_current_supported_present
17,SM_Windows_Windows_a,Persistent,11814,18540,1,1,0,current_b_panmap_association,keep_non_instance_state
18,SM_Bed_table_a,Absent,8766,8955,1,1,0,current_b_panmap_association,restore_current_supported_prior
19,SM_Stack_of_Books_f,Persistent,4599,0,0,0,0,current_b_panmap_association,drop_unmatched_prior_present
20,SM_Bed_lamp_a,Absent,5754,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
21,SM_Bed_table_b,Unobserved,3621,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
22,SM_Bed_lamp_b,Unobserved,3024,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
23,SM_Bed_lamp_b,Unobserved,3102,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
24,SM_TV_Wall_a,Absent,35166,40932,1,1,0,current_b_panmap_association,keep_non_instance_state
25,SM_Stack_of_Books_e,Persistent,13977,16326,1,1,0,current_b_panmap_association,keep_current_supported_present
26,SM_Digital_Clock_a,Absent,6570,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
27,SM_Decor_a,Absent,10569,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
28,SM_Journal_a,Absent,2622,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
29,SM_Plant_a,Unobserved,7218,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
30,SM_Door_b,Persistent,19281,15762,1,1,0,current_b_panmap_association,keep_current_supported_present
31,SM_Ceiling_a,Persistent,93264,46344,1,1,0,current_b_panmap_association,keep_non_instance_state
32,SM_Floor_a,Persistent,74541,45711,1,1,0,current_b_panmap_association,keep_non_instance_state
33,SM_Walls_a,Persistent,131694,0,0,0,0,current_b_panmap_association,keep_non_instance_state
34,SM_Bed_a,Unobserved,12351,0,0,0,0,current_b_panmap_association,keep_skipped_without_current_evidence
35,SM_Picture_e,Persistent,13050,16092,1,1,0,current_b_panmap_association,keep_current_supported_present
36,FreeSpace,New,11727,0,0,0,0,current_b_panmap_association,keep_freespace_state
37,SM_Picture_d,Persistent,9237,9207,1,1,0,current_b_panmap_association,keep_current_supported_present
38,SM_Chair_b,Persistent,12555,12555,1,1,0,current_b_panmap_association,keep_current_supported_present
39,SM_Coffee_Machine_a,Persistent,9180,9180,1,1,0,current_b_panmap_association,keep_current_supported_present
40,SM_Walls_a,New,172080,172044,1,1,0,current_b_panmap_association,keep_non_instance_state
41,SM_Office_Chair_base_a,Absent,12660,12660,1,1,0,current_b_panmap_association,restore_current_supported_prior
42,SM_Table_b,Absent,10278,10278,1,1,0,current_b_panmap_association,restore_current_supported_prior
43,SM_Sofa_a,Persistent,23637,23637,1,1,0,current_b_panmap_association,keep_current_supported_present
44,SM_Picture_c,Persistent,17337,0,0,0,0,current_b_panmap_association,drop_unmatched_prior_present
45,SM_Floor_Lamp_a,Persistent,10923,10923,1,1,0,current_b_panmap_association,keep_current_supported_present
46,SM_Ceiling_a,New,70056,70056,1,1,0,current_b_panmap_association,keep_non_instance_state
47,SM_Bed_b,Persistent,16356,16356,1,1,0,current_b_panmap_association,keep_current_supported_present
48,SM_Floor_a,New,29955,29955,1,1,0,current_b_panmap_association,keep_non_instance_state
49,SM_Office_Chair_base_a,Persistent,7797,7797,1,1,0,current_b_panmap_association,keep_current_supported_present
50,SM_Laptop_a,Persistent,10734,10734,1,1,0,current_b_panmap_association,keep_current_supported_present
51,SM_Office_Chair_base_a,Absent,10011,10011,1,1,0,current_b_panmap_association,restore_current_supported_prior
52,SM_Laptop_a,New,11268,11208,1,1,0,current_b_panmap_association,keep_current_supported_present
53,SM_Table_b,New,7446,7359,1,1,0,current_b_panmap_association,keep_current_supported_present
54,SM_Office_Chair_base_a,New,2871,2871,1,1,0,current_b_panmap_association,keep_current_supported_present
55,SM_Door_b,New,21738,21933,1,1,0,current_b_panmap_association,keep_current_supported_present
56,SM_Bed_table_a,New,4374,4374,1,1,0,current_b_panmap_association,keep_current_supported_present
