namespace,ply_file,vertices,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,extent_x,extent_y,extent_z,change_states,panoptic_labels,submap_ids
SM_Bed_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Bed_a.ply,12351,-3.1583538,-5.4815655,-0.9986312,-1.3000000,-2.5799999,-0.0200000,-2.2296590,-4.1829497,-0.4900967,1.8583539,2.9015656,0.9786312,Persistent,Instance,34
SM_Bed_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Bed_b.ply,16356,-4.9800000,-5.0999999,-0.9953198,-2.8999999,-3.2200000,-0.0200000,-4.0800886,-4.0568139,-0.5920596,2.0800002,1.8799999,0.9753198,Persistent,Instance,47
SM_Bed_lamp_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Bed_lamp_b.ply,6126,-4.7078314,-5.2649999,-0.9450000,-3.8549998,-4.8149996,0.0597909,-4.3885783,-5.0872613,-0.4334688,0.8528316,0.4500003,1.0047909,Persistent,Instance,22|23
SM_Bed_table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Bed_table_a.ply,4374,-1.5892129,-5.4803123,-0.9974293,-0.9749999,-4.8149996,-0.4950000,-1.2684100,-5.1452574,-0.7891676,0.6142130,0.6653128,0.5024293,New,Instance,56
SM_Bed_table_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Bed_table_b.ply,3621,-4.7849998,-5.4824543,-0.9450000,-4.0867982,-4.8026400,-0.4950000,-4.3852219,-5.1441863,-0.5668840,0.6982017,0.6798143,0.4500000,Persistent,Instance,21
SM_Ceiling_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Ceiling_a.ply,163320,-5.5250001,-5.4826841,1.6250000,2.7250001,1.5149022,1.7101747,-2.3044450,-1.8797855,1.7021341,8.2500002,6.9975864,0.0851747,New|Persistent,Background,31|46
SM_Chair_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Chair_a.ply,7422,0.0150000,0.4528646,-1.0000651,1.4250000,1.4250000,-0.0150000,0.6971187,0.9438853,-0.5323135,1.4100000,0.9721353,0.9850651,Persistent,Instance,3
SM_Chair_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Chair_b.ply,22917,-1.4250000,0.4950000,-0.9990351,-0.4950000,1.4250000,-0.1203865,-1.0102375,0.9168151,-0.6840382,0.9300000,0.9300000,0.8786487,Persistent,Instance,7|38
SM_Coffee_Machine_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Coffee_Machine_a.ply,9180,-0.3100000,-2.2300000,-0.3100000,0.3100000,-1.6820781,0.3100000,-0.0077176,-1.8165765,-0.0098886,0.6200000,0.5479219,0.6200000,Persistent,Instance,39
SM_Coffee_table_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Coffee_table_a.ply,16104,-3.4490135,-1.4250000,-0.9976458,-1.9349999,-0.0150000,-0.4784305,-2.5717946,-0.7230487,-0.6909894,1.5140135,1.4100000,0.5192153,Persistent,Instance,11
SM_Cup_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Cup_a.ply,495,-2.8699999,-0.4700000,-0.4993070,-2.5699999,-0.3300000,-0.4405960,-2.7013806,-0.3851588,-0.4735073,0.3000000,0.1400000,0.0587110,Persistent,Instance,13
SM_Door_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Door_a.ply,25185,2.4150000,-0.9450000,-0.9960468,2.8007629,0.4650000,1.2750000,2.7619740,-0.2696244,-0.0228371,0.3857629,1.4100000,2.2710468,Persistent,Instance,1
SM_Door_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Door_b.ply,41019,-0.4650000,-4.2309060,-0.9971796,-0.2850000,-2.8950000,1.4250000,-0.3530341,-3.5415705,0.1840611,0.1800000,1.3359060,2.4221795,New|Persistent,Instance,30|55
SM_Floor_Lamp_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Floor_Lamp_a.ply,19398,-4.6794190,0.4950000,-0.9977723,-1.4549999,1.4250000,0.7191992,-2.9147641,0.9576324,0.0004136,3.2244191,0.9300000,1.7169715,Persistent,Instance,12|45
SM_Floor_a,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Floor_a.ply,104496,-5.1519542,-5.4816236,-1.0061679,2.7750001,1.5185570,-0.8250000,-1.6929572,-1.7153844,-0.9904339,7.9269543,7.0001806,0.1811679,New|Persistent,Background,32|48
SM_Journal_b,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Journal_b.ply,2619,-3.4180171,-0.9500000,-0.6300000,-2.8899999,-0.6027397,-0.4544300,-3.1648518,-0.8019717,-0.4804513,0.5280173,0.3472603,0.1755700,Persistent,Instance,15
SM_Journal_c,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/negative_keep_unobserved/SM_Journal_c.ply,3834,-2.8699999,-0.9500000,-0.4998214,-2.1300001,-0.4900000,-0.4609147,-2.4258639,-0.7216261,-0.4822314,0.7399998,0.4600000,0.0389067,Persistent,Instance,16
