variant,label,change_type,map_cloud,gt_cloud,map_points,gt_points,distance_voxel_size_m,removed_stale_map_points,precision_05cm,recall_05cm,f1_05cm,precision_10cm,recall_10cm,f1_10cm,precision_20cm,recall_20cm,f1_20cm
official_with_prior,SM_Bed_a,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Bed_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Bed_a.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Bed_b,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Bed_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Bed_b.ply,3327,10360,0.02,,0.8289750525999399,0.9643822393822394,0.8915666958196794,0.8722572888488127,0.9938223938223938,0.9290801833197988,0.9350766456266907,1.0,0.9664492078285181
official_with_prior,SM_Chair_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Chair_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Chair_a.ply,1150,3153,0.02,,0.4547826086956522,0.5099904852521409,0.4808069477639908,0.5626086956521739,0.7903583888360292,0.6573145900426658,0.6504347826086957,0.9914367269267365,0.7855242364627343
official_with_prior,SM_Chair_b,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Chair_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Chair_b.ply,3006,2283,0.02,,0.43779108449767135,0.9978098992553658,0.6085706026413059,0.5791749833666001,1.0,0.7335159047819675,0.759148369926813,1.0,0.8630862329803328
official_with_prior,SM_Coffee_Machine_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Coffee_Machine_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Coffee_Machine_a.ply,1396,878,0.02,,0.45916905444126077,0.7835990888382688,0.5790371351705503,0.5687679083094556,0.8701594533029613,0.6878995915349531,0.8194842406876791,0.9863325740318907,0.8952004366196675
official_with_prior,SM_Cup_b,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Cup_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Cup_b.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Cup_c,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Cup_c.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Cup_c.ply,0,80,0.02,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
official_with_prior,SM_Floor_Lamp_a,moved,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Floor_Lamp_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Floor_Lamp_a.ply,1672,2833,0.02,,0.6626794258373205,0.9583480409459937,0.7835493753682387,0.7380382775119617,0.9901164842922697,0.8456926205386298,0.8594497607655502,1.0,0.9244129945320039
official_with_prior,SM_Journal_b,removed,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Journal_b.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Journal_b.ply,0,0,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
official_with_prior,SM_Laptop_a,new,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/mesh_current/official_with_prior/SM_Laptop_a.ply,/ft/session_update_baseline/rounds/base12_pocd_panmap_round01/changed_gt_run2/clouds/SM_Laptop_a.ply,2170,1076,0.02,,0.4815668202764977,1.0,0.6500777604976672,0.5723502304147465,1.0,0.7280187573270809,0.7603686635944701,1.0,0.8638743455497382
