namespace,ply_file,vertices,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,extent_x,extent_y,extent_z,change_states,panoptic_labels,submap_ids
SM_Bed_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Bed_b.ply,13620,-4.9199471,-4.9598961,-0.9399999,-3.0410242,-3.2450159,-0.3225610,-3.9628805,-4.0490505,-0.6099078,1.8789229,1.7148802,0.6174389,Persistent,Instance,25
SM_Bed_lamp_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Bed_lamp_a.ply,11745,-1.4673759,-5.2649999,-0.9450000,-0.5942748,-4.8149996,0.4650000,-0.8163427,-5.0490134,-0.1549854,0.8731011,0.4500003,1.4100000,New|Persistent,Instance,49|61
SM_Bed_lamp_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Bed_lamp_b.ply,2775,-4.6791334,-5.2649999,-0.9450000,-3.9720712,-4.8149996,0.0626315,-4.3180786,-5.0918725,-0.3861409,0.7070622,0.4500003,1.0076315,Persistent,Instance,39
SM_Bed_table_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Bed_table_a.ply,8490,-1.9050000,-5.4830527,-0.9974293,-0.9749999,-4.8149996,-0.4950000,-1.2894218,-5.1397483,-0.8357358,0.9300001,0.6680532,0.5024293,New|Persistent,Instance,37|62
SM_Bed_table_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Bed_table_b.ply,9402,-4.7849998,-5.4887166,-0.9975669,-3.8549998,-4.3349996,-0.4950000,-4.2719449,-5.1573975,-0.6646649,0.9300001,1.1537170,0.5025669,Persistent,Instance,38|47
SM_Ceiling_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Ceiling_a.ply,116394,-5.5250001,-5.4826841,1.6250000,2.7996547,1.5189940,1.7094498,-2.3984829,-1.9749133,1.7011886,8.3246548,7.0016781,0.0844498,New|Persistent,Background,6|36
SM_Chair_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Chair_a.ply,8598,0.0289117,0.4528646,-0.9976743,0.9932631,1.2593586,-0.1221621,0.7090957,0.7612669,-0.5288896,0.9643515,0.8064940,0.8755122,Persistent,Instance,4
SM_Chair_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Chair_b.ply,6885,-1.4097626,0.5217579,-0.9450000,-0.4950000,1.2474071,-0.1203865,-0.9773653,0.9016705,-0.4814910,0.9147626,0.7256492,0.8246135,Persistent,Instance,12
SM_Coffee_Machine_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Coffee_Machine_a.ply,8436,-0.3100000,-2.2300000,-0.3100000,0.3100000,-1.6820781,0.3100000,-0.0120376,-1.8188178,-0.0051658,0.6200000,0.5479219,0.6200000,Persistent,Instance,19
SM_Coffee_table_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Coffee_table_a.ply,11403,-3.4491415,-1.4250000,-0.9973695,-2.1149211,-0.1901509,-0.4769672,-2.7876379,-0.7839575,-0.6264240,1.3342204,1.2348491,0.5204024,Persistent,Instance,31
SM_Cup_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Cup_a.ply,1461,-2.8699999,-0.6300000,-0.4983732,-2.5699999,-0.3300000,-0.4362009,-2.7105423,-0.4850575,-0.4844560,0.3000000,0.3000000,0.0621723,Persistent,Instance,34
SM_Cup_c,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Cup_c.ply,753,-0.6199549,0.9700000,-0.2799549,-0.3602028,1.1975833,-0.1846367,-0.4474310,1.0444825,-0.2208977,0.2597521,0.2275833,0.0953181,Persistent,Instance,9
SM_Decor_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Decor_b.ply,3417,-2.6588352,-2.3751259,0.3300000,-2.2500000,-2.1241336,0.9499999,-2.4671146,-2.2989245,0.6160396,0.4088352,0.2509923,0.6199999,Persistent,Instance,56
SM_Digital_Clock_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Digital_Clock_a.ply,1482,-3.2249999,-2.3762157,0.0921008,-2.4150000,-2.1450000,0.4517599,-2.7197037,-2.3162050,0.2252724,0.8099999,0.2312157,0.3596591,Persistent,Instance,44
SM_Dimmer_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Dimmer_a.ply,1248,2.7549901,0.0150000,0.0150000,2.7999346,0.4650000,0.4650000,2.7897881,0.2407863,0.2415865,0.0449445,0.4500000,0.4500000,Persistent,Instance,15
SM_Door_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Door_a.ply,25179,2.4150000,-0.9450000,-0.9956347,2.8010895,0.4650000,1.2750000,2.7620402,-0.2691707,-0.0230465,0.3860896,1.4100000,2.2706347,Persistent,Instance,1
SM_Door_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Door_b.ply,21933,-0.4650000,-4.2149997,-0.9972258,-0.3396181,-2.8950000,1.4250000,-0.3538652,-3.5321017,0.2697591,0.1253819,1.3199997,2.4222257,New,Instance,60
SM_Floor_Lamp_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Floor_Lamp_a.ply,9321,-2.0353315,0.6985921,-0.9968964,-1.4549999,1.4250000,0.7174603,-1.7667000,0.9733506,0.1249899,0.5803316,0.7264079,1.7143567,Persistent,Instance,18
SM_Floor_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Floor_a.ply,100893,-5.1519542,-5.4865685,-1.0032096,2.8049524,1.5185570,-0.8250000,-1.6352987,-1.8155574,-0.9833482,7.9569066,7.0051254,0.1782096,New|Persistent,Background,2|13|20|50
SM_Journal_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Journal_a.ply,2607,-3.1899998,-2.4052444,0.3300000,-2.5699999,-2.1264911,0.6300000,-2.8663723,-2.2898362,0.4862279,0.6199999,0.2787533,0.3000000,Persistent,Instance,42
SM_Journal_c,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Journal_c.ply,5931,-2.8699999,-0.9500000,-0.5100000,-2.1166990,-0.3300000,-0.4360684,-2.4237433,-0.6360454,-0.4866209,0.7533009,0.6200000,0.0739316,Persistent,Instance,30
SM_Kitchen_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Kitchen_a.ply,39804,-0.1800000,-2.3095233,-1.0002928,2.7996149,-1.3000000,1.6600000,1.4614141,-1.9305000,0.2159652,2.9796149,1.0095234,2.6602927,Persistent,Instance,0
SM_Laptop_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Laptop_a.ply,16410,-1.2700000,-4.1499996,-0.2990690,-0.6541029,-3.2100000,0.0364008,-0.9156256,-3.7033027,-0.1945212,0.6158971,0.9399996,0.3354699,New|Persistent,Instance,52|57
SM_Office_Chair_base_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Office_Chair_base_a.ply,10668,-2.1750000,-4.3049998,-0.9979751,-0.9749999,-2.8950000,-0.0723176,-1.8002970,-3.4701021,-0.5296384,1.2000000,1.4099998,0.9256575,New|Persistent,Instance,51|59
SM_Picture_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Picture_b.ply,16134,-3.8849998,1.4868457,0.0150000,-1.4549999,1.5175331,1.4849999,-2.4942244,1.5068685,0.6729501,2.4299998,0.0306873,1.4699999,Persistent,Instance,17
SM_Picture_d,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Picture_d.ply,9507,-1.4250000,1.4833735,0.4950000,-0.0150000,1.5170416,1.4238814,-0.7603402,1.5044939,0.9326629,1.4100000,0.0336680,0.9288814,Persistent,Instance,11
SM_Picture_e,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Picture_e.ply,16092,-3.4050000,-5.4847150,0.0150000,-1.4549999,-5.4474502,1.5149999,-2.2913748,-5.4744881,0.7874748,1.9500000,0.0372648,1.4999999,Persistent,Instance,27
SM_Picture_f,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Picture_f.ply,9270,-4.3049998,-5.4824753,-0.4650000,-2.8950000,-5.4484692,0.4650000,-3.6060841,-5.4725141,0.0014904,1.4099998,0.0340061,0.9300000,Persistent,Instance,40
SM_Plant_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Plant_a.ply,13875,-3.5100000,-2.3793178,0.3300000,-2.8899999,-2.1226609,0.9499999,-3.3103762,-2.2821824,0.6372053,0.6200001,0.2566569,0.6199999,Persistent,Instance,41|54
SM_Plate_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Plate_b.ply,1419,-2.8699999,-0.6300000,-0.4985352,-2.5699999,-0.3300000,-0.4371017,-2.7117278,-0.4860527,-0.4842606,0.3000000,0.3000000,0.0614335,Persistent,Instance,35
SM_Plate_c,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Plate_c.ply,1302,-0.6300000,0.9700000,-0.2700000,-0.3300000,1.2700000,-0.1850156,-0.4489593,1.0714706,-0.2362713,0.3000000,0.3000000,0.0849843,Persistent,Instance,10
SM_Remote_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Remote_a.ply,6015,-3.1899998,-0.9500000,-0.4985292,-2.5699999,-0.3300000,-0.4362009,-2.8666492,-0.6443706,-0.4924748,0.6199999,0.6200000,0.0623283,Persistent,Instance,33
SM_Sofa_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Sofa_a.ply,23637,-5.0999999,-1.2600000,-0.9991381,-3.8600001,1.5168624,-0.0200000,-4.3432927,0.2222281,-0.4773329,1.2399998,2.7768624,0.9791381,Persistent,Instance,32
SM_Stack_of_Books_e,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_from_scratch_min500_r2/SM_Stack_of_Books_e.ply,30393,-3.5100000,-2.4078000,-0.2300000,-2.1700001,-2.1226609,0.6300000,-3.0298392,-2.2780247,0.2095087,1.3399999,0.2851391,0.8600000,Persistent,Instance,43|53
