namespace,ply_file,vertices,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,extent_x,extent_y,extent_z,change_states,panoptic_labels,submap_ids
SM_Bed_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Bed_b.ply,13620,-4.9199471,-4.9598961,-0.9399999,-3.0410242,-3.2450159,-0.3225610,-3.9628805,-4.0490505,-0.6099078,1.8789229,1.7148802,0.6174389,Persistent,Instance,43
SM_Bed_lamp_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Bed_lamp_a.ply,11745,-1.4673759,-5.2649999,-0.9450000,-0.5942739,-4.8149996,0.4650000,-0.8163416,-5.0490134,-0.1549852,0.8731020,0.4500003,1.4100000,New|Persistent,Instance,50|62
SM_Bed_lamp_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Bed_lamp_b.ply,2082,-4.6769991,-5.2649999,-0.6450000,-4.0831604,-4.8636198,0.0577233,-4.3620851,-5.1139514,-0.3486114,0.5938387,0.4013801,0.7027233,Persistent,Instance,22
SM_Bed_table_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Bed_table_a.ply,4374,-1.5892129,-5.4803123,-0.9974293,-0.9749999,-4.8149996,-0.4950000,-1.2684100,-5.1452574,-0.7891676,0.6142130,0.6653128,0.5024293,New,Instance,63
SM_Bed_table_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Bed_table_b.ply,3804,-4.7849998,-5.4824543,-0.9450000,-4.0361638,-4.8058977,-0.4950000,-4.3625580,-5.1303129,-0.5932838,0.7488360,0.6765566,0.4500000,Persistent,Instance,21
SM_Ceiling_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Ceiling_a.ply,163320,-5.5250001,-5.4826841,1.6250000,2.7250001,1.5149022,1.7101747,-2.3044450,-1.8797855,1.7021342,8.2500002,6.9975864,0.0851747,New|Persistent,Background,27|49
SM_Chair_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Chair_a.ply,7422,0.0150000,0.4528646,-1.0000651,1.4250000,1.4250000,-0.0150000,0.6971187,0.9438853,-0.5323135,1.4100000,0.9721353,0.9850651,Persistent,Instance,3
SM_Chair_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Chair_b.ply,17247,-1.4250000,0.4950000,-0.9990351,-0.4950000,1.4250000,-0.1203865,-1.0340314,0.8967037,-0.5852111,0.9300000,0.9300000,0.8786487,Persistent,Instance,7|34
SM_Coffee_Machine_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Coffee_Machine_a.ply,8436,-0.3100000,-2.2300000,-0.3100000,0.3100000,-1.6820781,0.3100000,-0.0120376,-1.8188178,-0.0051658,0.6200000,0.5479219,0.6200000,Persistent,Instance,39
SM_Coffee_table_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Coffee_table_a.ply,16041,-3.4490135,-1.4250000,-0.9976458,-1.9349999,-0.0150000,-0.4784305,-2.5728846,-0.7239042,-0.6918127,1.5140135,1.4100000,0.5192153,Persistent,Instance,11
SM_Cup_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Cup_a.ply,480,-2.7595754,-0.4836771,-0.4993070,-2.5699999,-0.3300000,-0.4405216,-2.6817023,-0.4006395,-0.4670995,0.1895754,0.1536771,0.0587854,Persistent,Instance,13
SM_Cup_c,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Cup_c.ply,753,-0.6199549,0.9700000,-0.2799549,-0.3602028,1.1975833,-0.1846367,-0.4474310,1.0444825,-0.2208977,0.2597521,0.2275833,0.0953181,Persistent,Instance,32
SM_Decor_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Decor_b.ply,3399,-2.6584423,-2.3751259,0.3300000,-2.2500000,-2.1241336,0.9499999,-2.4674241,-2.2994560,0.6175225,0.4084423,0.2509923,0.6199999,Persistent,Instance,57
SM_Digital_Clock_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Digital_Clock_a.ply,1398,-3.2249999,-2.3751144,0.0909236,-2.4150000,-2.1450000,0.4650000,-2.7265404,-2.3190679,0.2315467,0.8099999,0.2301145,0.3740764,Persistent,Instance,24
SM_Dimmer_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Dimmer_a.ply,1248,2.7549901,0.0150000,0.0150000,2.7999346,0.4650000,0.4650000,2.7897881,0.2407863,0.2415865,0.0449445,0.4500000,0.4500000,Persistent,Instance,36
SM_Door_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Door_a.ply,25161,2.4150000,-0.9450000,-0.9960468,2.8007629,0.4650000,1.2750000,2.7619453,-0.2699792,-0.0239256,0.3857629,1.4100000,2.2710468,Persistent,Instance,1
SM_Door_b,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Door_b.ply,41139,-0.4650000,-4.2309060,-0.9971796,-0.2850000,-2.8950000,1.4250000,-0.3530557,-3.5441708,0.1866734,0.1800000,1.3359060,2.4221795,New|Persistent,Instance,26|61
SM_Floor_Lamp_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Floor_Lamp_a.ply,9321,-2.0353315,0.6985921,-0.9968964,-1.4549999,1.4250000,0.7174603,-1.7667000,0.9733506,0.1249899,0.5803316,0.7264079,1.7143567,Persistent,Instance,38
SM_Floor_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Floor_a.ply,104496,-5.1519542,-5.4816236,-1.0061679,2.7750001,1.5185570,-0.8250000,-1.6929572,-1.7153844,-0.9904335,7.9269543,7.0001806,0.1811679,New|Persistent,Background,28|51
SM_Journal_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Journal_a.ply,2697,-3.1899998,-2.4001958,0.3300000,-2.5699999,-2.1500001,0.6300000,-2.8828697,-2.3152938,0.4802784,0.6199999,0.2501957,0.3000000,Persistent,Instance,54
SM_Journal_c,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Journal_c.ply,3906,-2.8699999,-0.9500000,-0.4996273,-2.1300001,-0.4900000,-0.4609657,-2.4246999,-0.7185918,-0.4823272,0.7399998,0.4600000,0.0386616,Persistent,Instance,16
SM_Kitchen_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Kitchen_a.ply,40587,-0.1800000,-2.3111553,-0.9800000,2.7996626,-1.3000000,1.6600000,1.4020582,-1.9499849,0.2295287,2.9796626,1.0111554,2.6400000,Persistent,Instance,0
SM_Laptop_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Laptop_a.ply,16470,-1.2700000,-4.1499996,-0.2990690,-0.6500000,-3.2100000,0.0367667,-0.9150012,-3.7027473,-0.1946519,0.6200000,0.9399996,0.3358358,New|Persistent,Instance,53|58
SM_Office_Chair_base_a,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Office_Chair_base_a.ply,10668,-2.1750000,-4.3049998,-0.9979751,-0.9749999,-2.8950000,-0.0723176,-1.8002970,-3.4701021,-0.5296384,1.2000000,1.4099998,0.9256575,New|Persistent,Instance,52|60
SM_Picture_c,/ft/session_update_baseline/rounds/base12_small_object_round02/mesh_current/ours_with_prior_min500_r2/SM_Picture_c.ply,17295,-3.8849998,1.4826347,0.0450000,-0.4628845,1.5169052,1.4849999,-2.4088481,1.5021207,0.6943593,3.4221152,0.0342705,1.4399999,Persistent,Instance,48
