vertex_index,object_id,vertex_label,object_label,distance_m,decision
5,5692549928996306950,0,11,0.00592893,remove
9,5692549928996306950,0,11,0.0116215,remove
10,5692549928996306950,0,11,0.0197226,remove
12,5692549928996306950,0,11,0.0114402,remove
14,5692549928996306950,0,11,0.0157654,remove
15,5692549928996306950,0,11,0.0165246,remove
233,5692549928996306950,0,11,0.019185,remove
238,5692549928996306950,0,11,0.01714,remove
300,5692549928996306950,0,11,0.0348622,remove
321,5692549928996306950,0,11,0.00650223,remove
325,5692549928996306950,0,11,0.014058,remove
333,5692549928996306950,0,11,0.00940714,remove
342,5692549928996306950,0,11,0.0164018,remove
362,5692549928996306950,0,11,0.013134,remove
378,5692549928996306947,0,15,0.00521639,remove
388,5692549928996306945,0,15,0.00227481,remove
396,5692549928996306945,0,15,0.00280238,remove
402,5692549928996306945,0,15,0.00187815,remove
563,5692549928996306945,0,15,0.00356282,remove
657,5692549928996306945,0,15,0.00227459,remove
661,5692549928996306945,0,15,0.0159684,remove
698,5692549928996306950,0,11,0.0149026,remove
699,5692549928996306950,0,11,0.0107824,remove
700,5692549928996306950,0,11,0.0150726,remove
701,5692549928996306950,0,11,0.015817,remove
705,5692549928996306950,0,11,0.0151597,remove
706,5692549928996306949,0,11,0.0436155,remove
707,5692549928996306950,0,11,0.00608663,remove
708,5692549928996306950,0,11,0.00746273,remove
709,5692549928996306950,0,11,0.0131775,remove
710,5692549928996306950,0,11,0.00756843,remove
711,5692549928996306950,0,11,0.018024,remove
712,5692549928996306950,0,11,0.0186805,remove
713,5692549928996306950,0,11,0.015443,remove
714,5692549928996306950,0,11,0.0362137,remove
715,5692549928996306950,0,11,0.00876619,remove
716,5692549928996306950,0,11,0.0123363,remove
717,5692549928996306950,0,11,0.0132372,remove
718,5692549928996306950,0,11,0.0044535,remove
2888,5692549928996306950,0,11,0.0421927,remove
2892,5692549928996306949,0,11,0.00915084,remove
2904,5692549928996306950,0,11,0.00796051,remove
2906,5692549928996306949,0,11,0.0100596,remove
2907,5692549928996306950,0,11,0.0100157,remove
2922,5692549928996306950,0,11,0.00477861,remove
2924,5692549928996306950,0,11,0.00426355,remove
2928,5692549928996306949,0,11,0.00932405,remove
2929,5692549928996306950,0,11,0.036915,remove
2931,5692549928996306949,0,11,0.0274329,remove
2935,5692549928996306949,0,11,0.0128951,remove
2937,5692549928996306950,0,11,0.0340209,remove
2954,5692549928996306950,0,11,0.0311345,remove
2961,5692549928996306949,0,11,0.0208424,remove
2962,5692549928996306949,0,11,0.0169945,remove
2971,5692549928996306950,0,11,0.0120627,remove
2972,5692549928996306950,0,11,0.00413896,remove
2978,5692549928996306950,0,11,0.00850794,remove
2982,5692549928996306949,0,11,0.00906725,remove
2994,5692549928996306950,0,11,0.0173914,remove
2998,5692549928996306950,0,11,0.0150417,remove
3003,5692549928996306950,0,11,0.0119083,remove
3016,5692549928996306950,0,11,0.00513806,remove
3018,5692549928996306950,0,11,0.00939209,remove
3020,5692549928996306950,0,11,0.0123574,remove
3021,5692549928996306950,0,11,0.0132013,remove
3022,5692549928996306950,0,11,0.0144474,remove
3025,5692549928996306950,0,11,0.0173705,remove
3026,5692549928996306950,0,11,0.0120604,remove
3036,5692549928996306950,0,11,0.0288852,remove
3047,5692549928996306949,0,11,0.0103209,remove
3055,5692549928996306950,0,11,0.00625365,remove
3056,5692549928996306950,0,11,0.0421927,remove
3058,5692549928996306950,0,11,0.0314503,remove
3071,5692549928996306950,0,11,0.00720528,remove
3074,5692549928996306950,0,11,0.0288852,remove
3080,5692549928996306950,0,11,0.0078734,remove
3081,5692549928996306950,0,11,0.0106484,remove
3083,5692549928996306950,0,11,0.0146132,remove
3084,5692549928996306950,0,11,0.0102763,remove
3085,5692549928996306950,0,11,0.0100253,remove
3088,5692549928996306950,0,11,0.01324,remove
3089,5692549928996306950,0,11,0.0144129,remove
3090,5692549928996306950,0,11,0.0168168,remove
3091,5692549928996306950,0,11,0.0288043,remove
3092,5692549928996306950,0,11,0.00293444,remove
3093,5692549928996306950,0,11,0.0288043,remove
3094,5692549928996306950,0,11,0.00293449,remove
3095,5692549928996306950,0,11,0.0276889,remove
3097,5692549928996306950,0,11,0.0199397,remove
3098,5692549928996306949,0,11,0.0291905,remove
3121,5692549928996306950,0,11,0.00741685,remove
3122,5692549928996306950,0,11,0.0158089,remove
3123,5692549928996306949,0,11,0.0107597,remove
3124,5692549928996306950,0,11,0.00439581,remove
5678,5692549928996306950,0,11,0.0232418,remove
5763,5692549928996306950,0,11,0.023369,remove
5764,5692549928996306950,0,11,0.0245346,remove
5765,5692549928996306950,0,11,0.024503,remove
5766,5692549928996306950,0,11,0.0255621,remove
5767,5692549928996306950,0,11,0.021013,remove
5827,5692549928996306950,0,11,0.0200383,remove
5830,5692549928996306950,0,11,0.0217914,remove
5831,5692549928996306950,0,11,0.0266482,remove
5835,5692549928996306950,0,11,0.0141354,remove
5888,5692549928996306950,0,11,0.0281427,remove
5890,5692549928996306950,0,11,0.0228242,remove
5892,5692549928996306950,0,11,0.0199154,remove
5895,5692549928996306950,0,11,0.020769,remove
5900,5692549928996306950,0,11,0.00604277,remove
5926,5692549928996306950,0,11,0.0187979,remove
5927,5692549928996306950,0,11,0.0118912,remove
5931,5692549928996306950,0,11,0.0193581,remove
5936,5692549928996306950,0,11,0.0207827,remove
5937,5692549928996306950,0,11,0.0168443,remove
5998,5692549928996306950,0,11,0.0192767,remove
6000,5692549928996306950,0,11,0.0101519,remove
6002,5692549928996306950,0,11,0.0240811,remove
6003,5692549928996306949,0,11,0.00941807,remove
6004,5692549928996306950,0,11,0.0142113,remove
6005,5692549928996306950,0,11,0.0144967,remove
6006,5692549928996306950,0,11,0.0211128,remove
6010,5692549928996306950,0,11,0.0191793,remove
6015,5692549928996306950,0,11,0.0151535,remove
6018,5692549928996306950,0,11,0.00781474,remove
6019,5692549928996306950,0,11,0.0248038,remove
6025,5692549928996306945,0,15,0.0165335,remove
6030,5692549928996306950,0,11,0.0121523,remove
6034,5692549928996306950,0,11,0.0102655,remove
6035,5692549928996306945,0,15,0.00430564,remove
6036,5692549928996306945,0,15,0.0045474,remove
6037,5692549928996306945,0,15,0.00454751,remove
