threshold,side,object_id,label,count,object_mesh_vertices,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz
0.05,gt_fn,5692549928996307104,11,11,12789,-8.54551,13.6361,2.03531,0.702334,0.320004,0.547975
0.05,gt_fn,5692549928996306988,11,68,35022,-7.68177,35.1042,2.03804,0.517684,0.64481,0.542969
0.05,gt_fn,5692549928996307006,11,98,32853,-7.77351,35.0275,1.89674,0.778607,0.798126,0.820639
0.05,gt_fn,5692549928996306982,2,10,5001,-8.80504,35.1824,2.23996,0.446643,0.112331,0.384969
0.05,gt_fn,5692549928996306992,2,57,4596,-8.4935,36.1043,1.19035,0.557519,0.359413,0.377785
0.05,gt_fn,5692549928996307005,2,20,7923,-8.3368,34.6212,2.01583,0.818979,0.908314,0.490301
0.05,gt_fn,5692549928996307060,11,36,11052,20.9319,28.9519,1.45552,0.426876,0.502527,0.130069
0.05,gt_fn,5692549928996306994,2,415,14955,-7.07211,34.2891,1.97559,0.65172,0.360054,0.408292
0.05,gt_fn,5692549928996307037,15,115,2871,-5.48028,22.4912,2.60577,0.270419,0.184328,1.33351
0.05,gt_fn,5692549928996307040,15,158,1083,-5.48331,22.136,2.28043,0.165211,0.203426,2.12473
0.05,gt_fn,5692549928996306978,3,84,1671,-8.98036,35.383,2.20449,0.115939,1.69698,0.737639
0.05,gt_fn,5692549928996306997,3,60,1251,-7.88298,33.8396,2.25665,2.15103,0.089344,0.58321
0.05,gt_fn,5692549928996306984,3,13,1416,-8.08587,33.8855,1.96331,1.24175,0.0901871,0.20082
0.05,gt_fn,5692549928996307051,2,39,4782,13.954,27.6846,1.39814,0.324125,0.257589,0.786431
0.05,gt_fn,5692549928996306966,2,23,64710,-9.32524,31.3887,1.19489,0.337131,0.42005,0.383377
0.05,gt_fn,5692549928996306980,2,4,2445,-9.65092,32.8703,1.7984,0.799759,0.711136,0.0383149
0.05,gt_fn,5692549928996307019,2,19,5352,-2.89677,31.6445,1.84006,0.319503,0.447159,0.12839
0.05,gt_fn,5692549928996307092,2,193,6234,13.9897,27.6153,1.39566,0.265219,0.670317,0.79303
0.05,gt_fn,5692549928996306965,3,1451,11451,-9.159,32.0392,1.76935,1.41705,1.07143,1.56866
0.05,gt_fn,5692549928996307038,2,231,29691,-6.30803,21.8169,1.39766,0.425505,0.460567,0.791749
0.05,gt_fn,5692549928996307101,2,128,24219,2.99362,13.1716,1.52284,0.391362,0.519403,0.538494
0.05,gt_fn,5692549928996306974,11,102,13170,-10.3802,35.09,1.94313,0.747843,0.765774,0.736379
0.05,gt_fn,5692549928996307016,2,33,6342,-4.09761,33.4441,1.80379,0.437773,0.462101,0.103767
0.05,gt_fn,5692549928996306999,3,3948,1056,-8.73922,34.1847,1.76171,4.10786,0.963837,1.53391
0.05,gt_fn,5692549928996307057,11,239,24636,19.0992,23.2008,1.47827,0.94458,0.860853,0.944901
0.05,gt_fn,5692549928996307009,11,115,5487,-4.30144,34.6606,1.69734,0.395032,0.568996,1.23197
0.05,gt_fn,5692549928996306949,11,1654,11052,-14.7766,22.1528,1.46687,1.47824,1.06381,0.976274
0.05,gt_fn,5692549928996307076,2,1204,6747,13.7438,30.9042,2.5151,0.331563,0.567064,1.82495
0.05,gt_fn,5692549928996307099,11,881,3264,2.96321,17.2101,1.54171,0.944152,2.61386,0.854393
0.05,gt_fn,5692549928996306972,3,19,9261,-9.01009,32.6138,1.2215,0.0580101,0.527988,0.397578
0.05,gt_fn,5692549928996306956,11,732,4551,-7.28102,21.8578,1.25141,1.65614,0.606592,0.487051
0.05,gt_fn,5692549928996307083,3,34,5442,13.7108,29.9489,2.41975,0.279501,0.328058,0.226498
0.05,gt_fn,5692549928996307074,3,3494,16356,14.1518,32.4608,2.17772,1.01185,1.51514,2.40374
0.05,gt_fn,5692549928996306947,15,3,17574,-15.4535,21.5999,2.81217,0.437059,0.0540466,0.508825
0.05,gt_fn,5692549928996306968,15,174,10038,-14.407,29.6607,2.68302,0.0644302,0.838121,0.613533
0.05,gt_fn,5692549928996307095,2,199,13785,10.2371,27.217,1.39658,0.918478,0.530777,0.793341
0.05,gt_fn,5692549928996307107,15,24,10923,-14.4047,29.6517,2.68206,0.0654621,0.813536,0.61018
0.05,gt_fn,5692549928996307043,11,1192,32901,3.00702,18.9232,1.47211,1.01357,0.950085,0.951607
0.05,gt_fn,5692549928996307100,11,1072,4992,3.03475,17.2378,1.45067,1.09392,4.28043,0.997137
0.05,gt_fn,5692549928996306973,3,824,5178,-9.43849,35.3888,1.73985,0.875507,1.6991,0.619646
0.05,gt_fn,5692549928996307041,11,609,8580,2.95707,17.8472,1.4739,0.928479,0.623283,0.952938
0.05,gt_fn,5692549928996307071,3,3024,7446,17.1671,29.5671,1.52579,2.01198,2.11771,1.06018
0.05,gt_fn,5692549928996307077,3,4003,10587,13.9161,28.9148,2.19023,0.728414,1.27564,2.41711
0.05,gt_fn,5692549928996307093,11,2,29604,17.8745,23.1203,1.47205,1.0636,1.01048,0.962081
0.05,gt_fn,5692549928996307056,11,1397,9876,18.2323,23.1004,1.46754,1.793,1.05765,0.962242
0.05,gt_fn,5692549928996306995,2,491,4074,-9.75086,33.0954,1.9929,1.15333,1.39492,0.536741
0.05,gt_fn,5692549928996307054,2,4727,12507,16.4192,22.9743,1.85617,2.11508,0.967186,1.76772
0.05,gt_fn,5692549928996307030,2,183,5889,-8.13548,28.1596,1.9214,0.707158,0.973413,0.301487
0.05,gt_fn,5692549928996306971,3,1905,3711,-13.3566,33.8915,1.38303,0.912923,3.22643,0.787893
0.05,gt_fn,5692549928996307098,4,215,4242,-0.124878,20.5011,1.12156,0.541583,0.541216,0.264924
0.05,gt_fn,5692549928996307039,11,687,5529,-7.38636,21.8486,1.24619,1.51608,0.610857,0.498577
0.05,gt_fn,5692549928996307080,4,86,25887,13.8633,30.5302,1.73188,0.460373,0.394875,0.245062
0.05,gt_fn,5692549928996306953,15,328,3666,-8.87404,26.8144,2.24423,0.545332,0.580158,2.04271
0.05,gt_fn,5692549928996307110,11,705,6573,-8.6952,24.7851,1.45459,1.17931,1.11564,0.969534
0.05,gt_fn,5692549928996307081,4,72,17796,13.865,30.3604,3.18768,0.508116,0.419205,0.256573
0.05,gt_fn,5692549928996306954,2,132,4260,-8.17052,27.1578,1.39629,0.523962,0.304316,0.79144
0.05,gt_fn,5692549928996307052,11,852,5880,11.4243,27.1222,1.2489,1.66193,0.563709,0.500645
0.05,gt_fn,5692549928996307026,3,172,6579,-3.14001,31.5649,1.60531,0.456,0.861954,0.362109
0.05,gt_fn,5692549928996306967,3,1536,11577,-14.1511,29.58,1.41991,0.626805,1.9937,0.846116
0.05,gt_fn,5692549928996307094,2,23,23070,16.5103,22.9982,3.23027,0.909981,0.18416,0.664189
0.05,gt_fn,5692549928996306951,11,3491,7641,-11.9481,22.1127,1.46991,3.27976,1.14113,0.962877
0.05,gt_fn,5692549928996307096,11,15,14073,6.60543,22.1162,1.4691,0.949598,0.938225,0.973389
0.05,gt_fn,5692549928996306969,4,919,8139,-14.0765,31.0138,1.3845,0.771053,1.12449,0.793559
0.05,gt_fn,5692549928996307105,11,960,6357,-8.67793,24.8308,1.47985,1.28056,1.28686,0.940451
0.05,gt_fn,5692549928996307047,11,1044,14175,6.745,22.0779,1.46386,1.16235,1.02364,0.952468
0.05,gt_fn,5692549928996307053,4,149,21888,15.7642,24.1775,1.12562,0.567657,0.497196,0.262506
0.05,gt_fn,5692549928996307023,3,1354,12648,-4.0094,33.4867,1.77838,1.94964,0.894039,1.58731
0.05,gt_fn,5692549928996307082,4,165,18456,13.8761,30.3285,2.21146,0.465755,0.372725,0.258865
0.05,gt_fn,5692549928996306955,2,497,13224,-6.25393,21.837,1.39258,0.480433,0.426594,0.797499
0.05,gt_fn,5692549928996307024,2,214,8475,-4.71545,32.9473,1.9371,0.162014,0.391472,0.329994
0.05,gt_fn,5692549928996307109,4,421,11331,-14.0417,32.9572,1.38939,0.835967,0.697037,0.763343
0.05,gt_fn,5692549928996307050,2,825,38730,10.477,27.225,1.39418,0.430658,0.557812,0.793177
0.05,gt_fn,5692549928996307079,4,197,8685,13.8503,30.4884,2.70187,0.424537,0.979971,0.25436
0.05,gt_fn,5692549928996306952,2,269,417,-13.1649,28.7229,0.998919,0.457907,1.52652,0.0115407
0.05,gt_fn,5692549928996307025,11,38,38889,-3.82339,31.953,1.84153,0.439294,0.349459,0.533914
