threshold,side,object_id,label,count,object_mesh_vertices,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz
0.05,gt_fn,5692549928996307005,2,4,7923,-8.3368,34.6212,2.01583,0.818979,0.908314,0.490301
0.05,gt_fn,5692549928996306988,11,35,35022,-7.68177,35.1042,2.03804,0.517684,0.64481,0.542969
0.05,gt_fn,5692549928996307006,11,37,32853,-7.77351,35.0275,1.89674,0.778607,0.798126,0.820639
0.05,gt_fn,5692549928996306992,2,24,4596,-8.4935,36.1043,1.19035,0.557519,0.359413,0.377785
0.05,gt_fn,5692549928996307060,11,12,11052,20.9319,28.9519,1.45552,0.426876,0.502527,0.130069
0.05,gt_fn,5692549928996306994,2,89,14955,-7.07211,34.2891,1.97559,0.65172,0.360054,0.408292
0.05,gt_fn,5692549928996307040,15,60,1083,-5.48331,22.136,2.28043,0.165211,0.203426,2.12473
0.05,gt_fn,5692549928996306984,3,3,1416,-8.08587,33.8855,1.96331,1.24175,0.0901871,0.20082
0.05,gt_fn,5692549928996306997,3,37,1251,-7.88298,33.8396,2.25665,2.15103,0.089344,0.58321
0.05,gt_fn,5692549928996307051,2,39,4782,13.954,27.6846,1.39814,0.324125,0.257589,0.786431
0.05,gt_fn,5692549928996307058,2,65,7230,17.3049,27.9496,1.10602,0.283981,0.357922,0.231247
0.05,gt_fn,5692549928996306975,11,215,8400,-10.1276,32.599,1.19307,0.705968,0.699123,0.403539
0.05,gt_fn,5692549928996307008,11,184,2838,-7.81259,34.5731,1.18037,0.651037,1.52313,0.403812
0.05,gt_fn,5692549928996307003,3,301,7416,-8.22257,34.3824,1.26802,1.66845,1.12862,0.541023
0.05,gt_fn,5692549928996307018,3,31,3474,-7.00265,33.4453,1.77007,0.298772,0.737938,1.5337
0.05,gt_fn,5692549928996307013,2,11,23247,-8.58384,33.4744,2.03715,0.376868,0.493061,0.390467
0.05,gt_fn,5692549928996306964,2,24,46662,-8.7101,31.3782,1.19461,0.375754,0.400692,0.38385
0.05,gt_fn,5692549928996307022,11,49,25020,-7.6371,32.5404,1.89946,0.677652,0.72327,0.818271
0.05,gt_fn,5692549928996307045,2,50,33213,5.00486,21.999,1.38996,0.421371,0.423128,0.800318
0.05,gt_fn,5692549928996307014,3,29,9543,-2.60097,31.7246,2.69102,0.0729494,1.11053,0.964981
0.05,gt_fn,5692549928996306993,3,1,1839,-9.02057,33.0102,1.9725,0.0422907,1.08823,0.164471
0.05,gt_fn,5692549928996307017,3,82,3465,-8.58965,32.1528,1.74296,0.878103,1.24446,0.616036
0.05,gt_fn,5692549928996307027,4,3,13896,-2.86618,31.3769,1.87218,0.46316,0.263479,0.188254
0.05,gt_fn,5692549928996306948,2,5,1848,-13.9284,21.6079,1.13376,0.529191,0.0485573,0.221762
0.05,gt_fn,5692549928996307110,11,597,6573,-8.6952,24.7851,1.45459,1.17931,1.11564,0.969534
0.05,gt_fn,5692549928996307059,2,5,2928,17.1907,29.6137,2.0546,0.695379,1.10972,0.298811
0.05,gt_fn,5692549928996307055,2,139,13404,16.5022,23.024,3.23869,0.882553,0.127335,0.660454
0.05,gt_fn,5692549928996307067,4,110,51855,19.8624,29.6011,1.28298,0.686092,0.650534,0.587064
0.05,gt_fn,5692549928996307035,3,24,13407,-8.05359,27.8247,1.3969,0.759762,0.395496,0.783859
0.05,gt_fn,5692549928996307073,11,129,10050,17.7518,33.0599,1.49196,0.558395,0.554596,0.986112
0.05,gt_fn,5692549928996307021,2,2,13269,-3.96961,32.9012,2.04057,0.243968,0.211735,0.165173
0.05,gt_fn,5692549928996306990,11,21,9696,-10.1982,32.4558,2.00507,0.748132,0.422485,0.614877
0.05,gt_fn,5692549928996307028,3,191,495,-4.66052,32.6042,1.37606,0.487076,0.735962,0.794327
0.05,gt_fn,5692549928996307026,3,29,6579,-3.14001,31.5649,1.60531,0.456,0.861954,0.362109
0.05,gt_fn,5692549928996306989,11,2,6096,-10.2374,35.1585,1.18516,0.407071,0.600693,0.359425
0.05,gt_fn,5692549928996306987,2,72,3594,-9.81758,34.8242,1.91592,1.63895,1.4611,0.295835
0.05,gt_fn,5692549928996307011,3,4,6996,-3.71572,33.2131,1.30732,0.357603,0.134823,0.580716
0.05,gt_fn,5692549928996307016,2,4,6342,-4.09761,33.4441,1.80379,0.437773,0.462101,0.103767
0.05,gt_fn,5692549928996306985,3,1370,4167,-9.60083,34.6776,1.27175,1.25384,1.68372,0.573184
0.05,gt_fn,5692549928996307108,3,30,6144,-14.4014,33.1632,2.71295,0.171897,3.79453,1.24999
0.05,gt_fn,5692549928996306981,3,312,3066,-9.64146,35.9799,1.37339,0.334957,0.881226,0.791069
0.05,gt_fn,5692549928996307015,3,1240,4638,-7.88086,34.828,1.76505,2.31196,2.2397,1.55075
0.05,gt_fn,5692549928996307042,15,83,4566,3.05468,19.9478,2.4655,0.603193,0.267908,2.04537
0.05,gt_fn,5692549928996307069,3,1003,17145,20.6571,29.7273,1.84744,1.19287,1.14909,1.70288
