axis,bin,coord,count
x,176,14.08,68733
x,-118,-9.44,37986
x,-113,-9.04,31296
x,-116,-9.28,31205
x,-117,-9.36,30788
x,-180,-14.4,29549
x,-110,-8.8,28565
x,-109,-8.72,28390
x,-108,-8.64,26278
x,173,13.84,24624
x,-100,-8,24209
x,-111,-8.88,24102
x,-93,-7.44,23889
x,175,14,23526
x,174,13.92,22790
x,-94,-7.52,22311
x,177,14.16,22066
x,-115,-9.2,18999
x,-194,-15.52,17451
x,64,5.12,17370
x,217,17.36,17296
x,-50,-4,17249
x,-95,-7.6,17230
x,-107,-8.56,17203
x,-193,-15.44,16526
x,-106,-8.48,16204
x,-40,-3.2,15624
x,-99,-7.92,14841
x,61,4.88,14133
x,-101,-8.08,13549
x,206,16.48,13499
x,-92,-7.36,13456
x,-102,-8.16,13346
x,77,6.16,13313
x,-174,-13.92,12598
x,-119,-9.52,12407
x,129,10.32,12321
x,-114,-9.12,12312
x,246,19.68,12228
x,-103,-8.24,11815
y,270,21.6,68104
y,390,31.2,50169
y,391,31.28,45380
y,275,22,43083
y,288,23.04,38171
y,378,30.24,36855
y,274,21.92,36649
y,277,22.16,31975
y,276,22.08,29675
y,368,29.44,28934
y,338,27.04,27200
y,405,32.4,25875
y,369,29.52,25418
y,381,30.48,24534
y,273,21.84,24466
y,439,35.12,23937
y,438,35.04,23654
y,408,32.64,23470
y,406,32.48,22623
y,423,33.84,22593
y,394,31.52,21905
y,404,32.32,19985
y,367,29.36,19253
y,411,32.88,19074
y,337,26.96,19039
y,295,23.6,18508
y,407,32.56,18404
y,282,22.56,18392
y,346,27.68,17636
y,283,22.64,17363
y,366,29.28,16822
y,370,29.6,16359
y,377,30.16,16024
y,287,22.96,15988
y,415,33.2,15706
y,376,30.08,15553
y,364,29.12,15454
y,380,30.4,15230
y,403,32.24,15186
y,371,29.68,14966
z,13,1.04,174602
z,22,1.76,156570
z,23,1.84,122948
z,17,1.36,110678
z,21,1.68,107535
z,24,1.92,104913
z,19,1.52,102606
z,15,1.2,99970
z,16,1.28,99110
z,26,2.08,97644
z,14,1.12,92677
z,20,1.6,88289
z,25,2,85832
z,50,4,82641
z,18,1.44,79150
z,28,2.24,45733
z,27,2.16,44776
z,29,2.32,39026
z,31,2.48,24640
z,34,2.72,22635
z,32,2.56,21603
z,30,2.4,21455
z,33,2.64,21403
z,37,2.96,21168
z,41,3.28,17746
z,38,3.04,17516
z,36,2.88,17440
z,39,3.12,15741
z,35,2.8,15249
z,40,3.2,12694
z,42,3.36,10556
z,43,3.44,10059
z,49,3.92,8878
z,44,3.52,7453
z,48,3.84,6191
z,46,3.68,5004
z,12,0.96,4213
z,47,3.76,3826
z,45,3.6,494
z,51,4.08,20
