axis,bin,coord,count
x,-6,-0.48,50933
x,43,3.44,37367
x,-7,-0.56,30937
x,-180,-14.4,23715
x,-5,-0.4,23335
x,56,4.48,20225
x,170,13.6,17747
x,-119,-9.52,16444
x,-125,-10,15186
x,-32,-2.56,14321
x,-106,-8.48,14252
x,10,0.8,14136
x,42,3.36,13880
x,-124,-9.92,13821
x,-8,-0.64,13005
x,-80,-6.4,13000
x,-94,-7.52,12385
x,-126,-10.08,12377
x,-144,-11.52,12347
x,-50,-4,12329
x,-113,-9.04,11990
x,-120,-9.6,11637
x,-112,-8.96,11434
x,9,0.72,11401
x,-123,-9.84,11392
x,-127,-10.16,11306
x,-208,-16.64,11275
x,-121,-9.68,11207
x,-122,-9.76,11151
x,-130,-10.4,11008
x,-128,-10.24,10968
x,-129,-10.32,10963
x,-138,-11.04,10958
x,-100,-8,10844
x,-109,-8.72,10802
x,41,3.28,10772
x,-97,-7.76,10714
x,-99,-7.92,10705
x,3,0.24,10687
x,-75,-6,10619
y,270,21.6,76709
y,344,27.52,63011
y,342,27.36,41876
y,283,22.64,34552
y,119,9.52,29007
y,343,27.44,27126
y,56,4.48,25289
y,120,9.6,24457
y,288,23.04,23787
y,267,21.36,21987
y,345,27.6,20074
y,338,27.04,17444
y,282,22.56,16999
y,276,22.08,16782
y,313,25.04,15543
y,312,24.96,15325
y,308,24.64,15241
y,309,24.72,15174
y,315,25.2,15144
y,310,24.8,15087
y,305,24.4,15065
y,316,25.28,15057
y,314,25.12,15038
y,311,24.88,14980
y,328,26.24,14972
y,307,24.56,14972
y,317,25.36,14921
y,318,25.44,14782
y,300,24,14533
y,304,24.32,14508
y,302,24.16,14444
y,303,24.24,14438
y,306,24.48,14343
y,294,23.52,14335
y,295,23.6,14266
y,319,25.52,14215
y,301,24.08,14198
y,287,22.96,14108
y,350,28,13989
y,297,23.76,13945
z,50,4,1119048
z,13,1.04,596899
z,12,0.96,500369
z,49,3.92,68964
z,46,3.68,55326
z,47,3.76,41875
z,24,1.92,32129
z,42,3.36,30565
z,48,3.84,30534
z,43,3.44,26948
z,22,1.76,26108
z,41,3.28,24406
z,44,3.52,22703
z,25,2,21692
z,23,1.84,21178
z,45,3.6,20536
z,14,1.12,18963
z,26,2.08,18832
z,40,3.2,17598
z,15,1.2,17301
z,19,1.52,17164
z,21,1.68,17144
z,38,3.04,16873
z,39,3.12,16629
z,20,1.6,16586
z,35,2.8,16399
z,27,2.16,16345
z,28,2.24,16307
z,29,2.32,16264
z,33,2.64,16254
z,31,2.48,16253
z,37,2.96,16245
z,34,2.72,16169
z,36,2.88,16088
z,30,2.4,16076
z,32,2.56,15837
z,17,1.36,15488
z,16,1.28,14705
z,18,1.44,14643
z,52,4.16,169
