vertex_index,object_id,vertex_label,object_label,distance_m,decision
9002,5692549928996306944,0,11,0.0174732,remove
9003,5692549928996306944,0,11,0.0154148,remove
9016,5692549928996306944,0,11,0.0130109,remove
9017,5692549928996306944,0,11,0.00531038,remove
9021,5692549928996306944,0,11,0.0083644,remove
9022,5692549928996306944,0,11,0.00657256,remove
9023,5692549928996306944,0,11,0.00807845,remove
9024,5692549928996306944,0,11,0.00807835,remove
9026,5692549928996306944,0,11,0.00920799,remove
9028,5692549928996306944,0,11,0.010634,remove
9030,5692549928996306944,0,11,0.0109004,remove
9031,5692549928996306944,0,11,0.00774831,remove
9051,5692549928996306944,0,11,0.00822961,remove
9053,5692549928996306944,0,11,0.0134297,remove
9054,5692549928996306944,0,11,0.00822951,remove
9056,5692549928996306944,0,11,0.00504912,remove
9057,5692549928996306944,0,11,0.0103031,remove
9068,5692549928996306944,0,11,0.00948758,remove
9077,5692549928996306944,0,11,0.0154147,remove
9083,5692549928996306944,0,11,0.0287615,remove
9096,5692549928996306944,0,11,0.00788355,remove
9100,5692549928996306944,0,11,0.0124666,remove
9107,5692549928996306944,0,11,0.0287613,remove
9109,5692549928996306944,0,11,0.0174733,remove
9134,5692549928996306944,0,11,0.0128123,remove
9138,5692549928996306944,0,11,0.0100434,remove
9139,5692549928996306944,0,11,0.0122528,remove
9246,5692549928996306944,0,11,0.026513,remove
9262,5692549928996306944,0,11,0.0265124,remove
9275,5692549928996306944,0,11,0.00994608,remove
9277,5692549928996306944,0,11,0.0241528,remove
9747,5692549928996306944,0,11,0.013778,remove
9755,5692549928996306944,0,11,0.0144564,remove
10036,5692549928996306944,0,11,0.0195369,remove
10041,5692549928996306944,0,11,0.020034,remove
10056,5692549928996306944,0,11,0.0200338,remove
10525,5692549928996306944,0,11,0.0113402,remove
10528,5692549928996306944,0,11,0.0236708,remove
10529,5692549928996306944,0,11,0.00664219,remove
10539,5692549928996306944,0,11,0.00408066,remove
10595,5692549928996306944,0,11,0.00666565,remove
10630,5692549928996306944,0,11,0.0296018,remove
10635,5692549928996306944,0,11,0.0240629,remove
10651,5692549928996306944,0,11,0.00233563,remove
10652,5692549928996306944,0,11,0.00723103,remove
10660,5692549928996306944,0,11,0.024491,remove
10661,5692549928996306944,0,11,0.0268329,remove
10945,5692549928996306944,0,11,0.0148772,remove
11488,5692549928996306944,0,11,0.0185534,remove
11498,5692549928996306944,0,11,0.0100291,remove
11499,5692549928996306944,0,11,0.0185532,remove
11500,5692549928996306944,0,11,0.0110327,remove
11514,5692549928996306944,0,11,0.0211243,remove
11537,5692549928996306944,0,11,0.0198079,remove
11627,5692549928996306944,0,11,0.0199632,remove
11746,5692549928996306944,0,11,0.0267099,remove
11747,5692549928996306944,0,11,0.0198811,remove
11950,5692549928996306944,0,11,0.00604501,remove
11966,5692549928996306944,0,11,0.0224143,remove
11967,5692549928996306944,0,11,0.0181234,remove
11974,5692549928996306944,0,11,0.00604436,remove
12069,5692549928996306944,0,11,0.0135923,remove
12070,5692549928996306944,0,11,0.00878498,remove
12071,5692549928996306944,0,11,0.00854279,remove
12076,5692549928996306944,0,11,0.0111638,remove
12100,5692549928996306944,0,11,0.0111642,remove
12104,5692549928996306944,0,11,0.0098623,remove
12383,5692549928996306944,0,11,0.00367204,remove
12386,5692549928996306944,0,11,0.00367252,remove
12404,5692549928996306944,0,11,0.0211124,remove
12406,5692549928996306944,0,11,0.021776,remove
12408,5692549928996306944,0,11,0.0193522,remove
12409,5692549928996306944,0,11,0.0193513,remove
12411,5692549928996306944,0,11,0.00282288,remove
12431,5692549928996306944,0,11,0.0145872,remove
12447,5692549928996306944,0,11,0.0211133,remove
12449,5692549928996306944,0,11,0.0217769,remove
12453,5692549928996306944,0,11,0.00282225,remove
12454,5692549928996306944,0,11,0.0250705,remove
12475,5692549928996306944,0,11,0.0210779,remove
12478,5692549928996306944,0,11,0.00761194,remove
12527,5692549928996306944,0,11,0.00982694,remove
12560,5692549928996306944,0,11,0.0261203,remove
12806,5692549928996306944,0,11,0.00779145,remove
12807,5692549928996306944,0,11,0.00764724,remove
12808,5692549928996306944,0,11,0.0133272,remove
12810,5692549928996306944,0,11,0.0167957,remove
12811,5692549928996306944,0,11,0.00555236,remove
12812,5692549928996306944,0,11,0.00899633,remove
12815,5692549928996306944,0,11,0.0139247,remove
12816,5692549928996306944,0,11,0.00929789,remove
12831,5692549928996306944,0,11,0.0126202,remove
12848,5692549928996306944,0,11,0.00587466,remove
12860,5692549928996306944,0,11,0.0137746,remove
12861,5692549928996306944,0,11,0.00865383,remove
12867,5692549928996306944,0,11,0.00659905,remove
12870,5692549928996306944,0,11,0.0227964,remove
12877,5692549928996306944,0,11,0.0109967,remove
12879,5692549928996306944,0,11,0.0289755,remove
12895,5692549928996306944,0,11,0.0217619,remove
13962,5692549928996306944,0,11,0.00949814,remove
14026,5692549928996306944,0,11,0.00861082,remove
14029,5692549928996306944,0,11,0.00949855,remove
31992,5692549928996306944,0,11,0.0170648,remove
32032,5692549928996306944,0,11,0.0225551,remove
32070,5692549928996306944,0,11,0.0255824,remove
32186,5692549928996306944,0,11,0.0237121,remove
32187,5692549928996306944,0,11,0.00967118,remove
32194,5692549928996306944,0,11,0.0103775,remove
32197,5692549928996306944,0,11,0.01398,remove
32199,5692549928996306944,0,11,0.011326,remove
32219,5692549928996306944,0,11,0.0144716,remove
32222,5692549928996306944,0,11,0.0119686,remove
32239,5692549928996306944,0,11,0.0183017,remove
32241,5692549928996306944,0,11,0.0157214,remove
32358,5692549928996306944,0,11,0.0236387,remove
32376,5692549928996306944,0,11,0.0248375,remove
32384,5692549928996306944,0,11,0.00651065,remove
32387,5692549928996306944,0,11,0.0125541,remove
41916,5692549928996306947,0,11,0.0180514,remove
41933,5692549928996306947,0,11,0.0163771,remove
41934,5692549928996306947,0,11,0.016374,remove
41939,5692549928996306947,0,11,0.0118641,remove
41956,5692549928996306947,0,11,0.015841,remove
41966,5692549928996306947,0,11,0.0180487,remove
41989,5692549928996306947,0,11,0.0116848,remove
42037,5692549928996306947,0,11,0.0208596,remove
42057,5692549928996306947,0,11,0.0270945,remove
42069,5692549928996306947,0,11,0.0265358,remove
42073,5692549928996306947,0,11,0.00383283,remove
42074,5692549928996306947,0,11,0.00502225,remove
42075,5692549928996306947,0,11,0.00803518,remove
42076,5692549928996306947,0,11,0.022987,remove
42077,5692549928996306947,0,11,0.0148629,remove
42081,5692549928996306947,0,11,0.00650249,remove
42082,5692549928996306947,0,11,0.00664736,remove
42094,5692549928996306947,0,11,0.0279202,remove
42095,5692549928996306947,0,11,0.0158405,remove
42096,5692549928996306947,0,11,0.0164171,remove
42099,5692549928996306947,0,11,0.0157426,remove
42104,5692549928996306947,0,11,0.0130974,remove
42108,5692549928996306947,0,11,0.0187674,remove
42116,5692549928996306947,0,11,0.0130973,remove
42118,5692549928996306947,0,11,0.0130956,remove
42119,5692549928996306947,0,11,0.0104615,remove
42126,5692549928996306947,0,11,0.010463,remove
42127,5692549928996306947,0,11,0.0127388,remove
42129,5692549928996306947,0,11,0.0209454,remove
42144,5692549928996306947,0,11,0.0130819,remove
42145,5692549928996306947,0,11,0.013227,remove
42146,5692549928996306947,0,11,0.0289597,remove
42147,5692549928996306947,0,11,0.0280075,remove
42149,5692549928996306947,0,11,0.00972018,remove
42152,5692549928996306947,0,11,0.0127393,remove
42153,5692549928996306947,0,11,0.0133352,remove
42155,5692549928996306947,0,11,0.0128368,remove
42160,5692549928996306947,0,11,0.0285508,remove
